file	percent	reads	taxon_id	taxon_name
ERR10036469.out	35.176537	58452649	2283796	Candidatus Thermoplasmatota
ERR10036469.out	25.390116	42190610	1224	Proteobacteria
ERR10036469.out	21.866228	36334983	201174	Actinobacteria
ERR10036469.out	0.561472	932995	1239	Firmicutes
ERR10036469.out	0.234248	389249	28890	Euryarchaeota
ERR10036469.out	0.148526	246804	28889	Crenarchaeota
ERR10036469.out	0.131652	218765	976	Bacteroidetes
ERR10036469.out	0.115625	192133	1117	Cyanobacteria
ERR10036469.out	0.080039	133001	1801631	Candidatus Micrarchaeota
ERR10036469.out	0.079054	131363	4890	Ascomycota
ERR10036469.out	0.078324	130151	200795	Chloroflexi
ERR10036469.out	0.051180	85045	203682	Planctomycetes
ERR10036469.out	0.045058	74872	5204	Basidiomycota
ERR10036469.out	0.042467	70567	1978152	Candidatus Marsarchaeota
ERR10036469.out	0.042321	70325	57723	Acidobacteria
ERR10036469.out	0.034051	56583	928852	Candidatus Bathyarchaeota
ERR10036469.out	0.033523	55705	40117	Nitrospirae
ERR10036469.out	0.023838	39611	1752739	Candidatus Jorgensenbacteria
ERR10036469.out	0.022635	37613	74201	Verrucomicrobia
ERR10036469.out	0.022611	37572	651137	Thaumarchaeota
ERR10036469.out	0.016866	28026	200918	Thermotogae
ERR10036469.out	0.016524	27458	3041	Chlorophyta
ERR10036469.out	0.016317	27114	1913637	Mucoromycota
ERR10036469.out	0.013616	22626	67817	Candidatus Aminicenantes
ERR10036469.out	0.013242	22004	32066	Fusobacteria
ERR10036469.out	0.013207	21946	204428	Chlamydiae
ERR10036469.out	0.012434	20661	203691	Spirochaetes
ERR10036469.out	0.012429	20654	142182	Gemmatimonadetes
ERR10036469.out	0.010852	18033	1752708	Candidatus Rokubacteria
ERR10036469.out	0.010146	16859	1462422	Candidatus Parvarchaeota
ERR10036469.out	0.010040	16683	1297	Deinococcus-Thermus
ERR10036469.out	0.009952	16538	1090	Chlorobi
ERR10036469.out	0.009747	16197	5878	Ciliophora
ERR10036469.out	0.008606	14300	1655434	Candidatus Lokiarchaeota
ERR10036469.out	0.008044	13366	2582935	Candidatus Altiarchaeota
ERR10036469.out	0.007398	12293	200783	Aquificae
ERR10036469.out	0.007117	11826	2605435	Evosea
ERR10036469.out	0.007055	11724	5794	Apicomplexa
ERR10036469.out	0.006023	10009	4761	Chytridiomycota
ERR10036469.out	0.005869	9753	1752720	Candidatus Gottesmanbacteria
ERR10036469.out	0.005743	9543	544448	Tenericutes
ERR10036469.out	0.005268	8753	4762	Oomycota
ERR10036469.out	0.004959	8240	1134404	Ignavibacteriae
ERR10036469.out	0.004883	8114	555280	Discosea
ERR10036469.out	0.004764	7917	33682	Euglenozoa
ERR10036469.out	0.004705	7818	1801616	Candidatus Woesearchaeota
ERR10036469.out	0.004382	7282	1817803	Candidatus Fischerbacteria
ERR10036469.out	0.004040	6713	1379697	candidate division Zixibacteria
ERR10036469.out	0.003817	6342	1798710	Candidatus Melainabacteria
ERR10036469.out	0.003669	6097	1936987	Balneolaeota
ERR10036469.out	0.003579	5948	1706441	Candidatus Thorarchaeota
ERR10036469.out	0.003341	5551	67812	Candidatus Omnitrophica
ERR10036469.out	0.003279	5448	74152	Elusimicrobia
ERR10036469.out	0.003273	5438	65842	Fibrobacteres
