file	percent	reads	taxon_id	taxon_name
ERR10036468.out	16.306250	17783532	2838112	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp. MAG1;
ERR10036468.out	8.230146	8975766	261388	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma sp. Type II;
ERR10036468.out	4.647311	5068339	74969	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidiphilum;
ERR10036468.out	2.769936	3020881	97393	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidarmanus;
ERR10036468.out	0.798174	870485	667135	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon A-plasma;
ERR10036468.out	0.415240	452859	56425	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bohemicum;
ERR10036468.out	0.371170	404796	50339	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma volcanium;
ERR10036468.out	0.355266	387452	1673428	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Cuniculiplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum;
ERR10036468.out	0.329246	359074	1966466	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus aeridis;
ERR10036468.out	0.315897	344516	1528099	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Lawsonellaceae;Lawsonella;Lawsonella clevelandensis;
ERR10036468.out	0.298377	325409	2592811	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium helveticum;
ERR10036468.out	0.296372	323222	470	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
ERR10036468.out	0.234476	255719	562	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;
ERR10036468.out	0.212719	231991	76775	Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta;
ERR10036468.out	0.208580	227476	1747	Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes;
ERR10036468.out	0.200588	218761	1773	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis;
ERR10036468.out	0.168629	183906	220927	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium saskatchewanense;
ERR10036468.out	0.162779	177526	667137	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon E-plasma;
ERR10036468.out	0.162490	177211	2268204	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon;
