KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen	13.001948307514876	0.0015019753251705804	0.08110666755921264	MAG00006	M00530!!!M00529	GC_00004616	0	0	1	1	11	1
Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen!!!Complete nitrification, comammox, ammonia => nitrite => nitrate	13.001948307514876	0.0015019753251705804	0.08110666755921264	MAG00006	M00530!!!M00529!!!M00804	GC_00004082, GC_00004610	0	0	1	1	11	1
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol!!!Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	13.001948307514844	0.0015019753251706044	0.08110666755921264	Ferroplasma_c, rest	M00116!!!M00932	GC_00000798	1	1	0	1	11	1
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	M00061	GC_00001510, GC_00004894	1	0.2727	1	1	11	1
Trehalose biosynthesis, D-glucose 1P => trehalose	3.7821050578195234	0.1509128850407368	1	MAG00006	M00565	GC_00001672, GC_00002114, GC_00002436, GC_00003236	0	0.1818	1	1	11	1
Sphingosine degradation	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	M00100	GC_00001120, GC_00001614	1	0.8182	0	1	11	1
Cysteine biosynthesis, serine => cysteine	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	M00021	GC_00001252	1	0.7273	0	1	11	1
beta-Lactam resistance, Bla system	2.757789169028916	0.2518568056521672	1	MAG00006	M00627	GC_00001707	0	0.2727	1	1	11	1
Glycogen biosynthesis, glucose-1P => glycogen/starch!!!Trehalose biosynthesis, D-glucose 1P => trehalose	2.245613377701253	0.3253653126947218	1	MAG00006	M00854!!!M00565	GC_00001682	0	0.3636	1	1	11	1
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	2.245613377701253	0.3253653126947218	1	MAG00006	M00116	GC_00001685, GC_00002358, GC_00002455, GC_00002482	0	0.3636	1	1	11	1
Glycogen biosynthesis, glucose-1P => glycogen/starch	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	M00854	GC_00001260	1	0.6364	0	1	11	1
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	M00016!!!M00525!!!M00526!!!M00527	GC_00001608, GC_00001874	1	0.6364	0	1	11	1
Hydroxypropionate-hydroxybutylate cycle	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	M00375	GC_00001435	1	0.4545	1	1	11	1
Assimilatory sulfate reduction, sulfate => H2S!!!Sulfate-sulfur assimilation	2.026026543600029	0.36312314065077606	1	rest, MAG00006	M00176!!!M00616	GC_00001916, GC_00002606, GC_00003384	0	0.5455	1	1	11	1
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	2.026026543600028	0.3631231406507762	1	MAG00006	M00552	GC_00001291	0	0.4545	1	1	11	1
dTDP-L-rhamnose biosynthesis	1.4770426178700067	0.47781994147338913	1	Ferroplasma_c, MAG00006	M00793	GC_00001237, GC_00001309, GC_00001375, GC_00001476, GC_00002153, GC_00003043, GC_00003509, GC_00003744, GC_00004050	1	0.5455	1	1	11	1
Leucine degradation, leucine => acetoacetate + acetyl-CoA	1.4770426178700067	0.47781994147338913	1	Ferroplasma_c, MAG00006	M00036	GC_00001208	1	0.5455	1	1	11	1
Glucuronate pathway (uronate pathway)	1.050367992815033	0.5914465303177685	1	Ferroplasma_c, MAG00006	M00014	GC_00001522, GC_00001744, GC_00001975, GC_00003059	1	0.6364	1	1	11	1
NAD biosynthesis, aspartate => quinolinate => NAD!!!NAD biosynthesis, tryptophan => quinolinate => NAD	1.050367992815033	0.5914465303177685	1	Ferroplasma_c, MAG00006	M00115!!!M00912	GC_00001321	1	0.6364	1	1	11	1
Nicotinate degradation, nicotinate => fumarate	1.050367992815033	0.5914465303177685	1	Ferroplasma_c, MAG00006	M00622	GC_00001378, GC_00002204, GC_00004245	1	0.6364	1	1	11	1
Photorespiration!!!Formaldehyde assimilation, serine pathway	1.050367992815033	0.5914465303177685	1	Ferroplasma_c, MAG00006	M00532!!!M00346	GC_00001387, GC_00003027	1	0.6364	1	1	11	1
Methanogenesis, CO2 => methane!!!Methanogen	1.0503679928150325	0.5914465303177687	1	rest	M00567!!!M00617	GC_00002251, GC_00002998	0	0.3636	0	1	11	1
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!Acetogen	1.0503679928150325	0.5914465303177687	1	rest	M00377!!!M00618	GC_00001761	0	0.3636	0	1	11	1
Assimilatory sulfate reduction, sulfate => H2S!!!Dissimilatory sulfate reduction, sulfate => H2S!!!Sulfate-sulfur assimilation	0.7089987310275441	0.7015245626989991	1	rest	M00176!!!M00596!!!M00616	GC_00002480, GC_00003756	0	0.2727	0	1	11	1
beta-Oxidation, acyl-CoA synthesis	0.7089987310275441	0.7015245626989991	1	Ferroplasma_c, MAG00006	M00086	GC_00000051	1	0.7273	1	1	11	1
Cytochrome c oxidase, prokaryotes	0.7089987310275441	0.7015245626989991	1	Ferroplasma_c, MAG00006	M00155	GC_00000981, GC_00001222	1	0.7273	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Nucleotide sugar biosynthesis, glucose => UDP-glucose!!!UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0.7089987310275441	0.7015245626989991	1	Ferroplasma_c, MAG00006	M00001!!!M00549!!!M00892!!!M00909	GC_00001196	1	0.7273	1	1	11	1
Glyoxylate cycle	0.7089987310275441	0.7015245626989991	1	rest	M00012	GC_00002181	0	0.2727	0	1	11	1
Heme biosynthesis, archaea, siroheme => heme	0.7089987310275441	0.7015245626989991	1	Ferroplasma_c, MAG00006	M00847	GC_00001153	1	0.7273	1	1	11	1
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	0.7089987310275441	0.7015245626989991	1	rest	M00013	GC_00001545	0	0.2727	0	1	11	1
Menaquinone biosynthesis, futalosine pathway!!!Menaquinone biosynthesis, modified futalosine pathway	0.7089987310275441	0.7015245626989991	1	Ferroplasma_c, MAG00006	M00930!!!M00931	GC_00001155, GC_00001201, GC_00001347	1	0.7273	1	1	11	1
N-glycan precursor biosynthesis	0.7089987310275441	0.7015245626989991	1	rest	M00055	GC_00001911	0	0.2727	0	1	11	1
Purine degradation, xanthine => urea	0.7089987310275441	0.7015245626989991	1	rest	M00546	GC_00002080	0	0.2727	0	1	11	1
Coenzyme A biosynthesis, pantothenate => CoA	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00120	GC_00000982, GC_00004614	1	0.8182	1	1	11	1
Heme biosynthesis, animals and fungi, glycine => heme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00868!!!M00121!!!M00926	GC_00001112, GC_00001247	1	0.8182	1	1	11	1
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00533	GC_00001118	1	0.8182	1	1	11	1
Methionine degradation	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00035	GC_00001066, GC_00002089, GC_00004173, GC_00004340	1	0.8182	1	1	11	1
Methylaspartate cycle	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00740	GC_00001079	1	0.8182	1	1	11	1
