KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_MAG00006	p_rest	N_Ferroplasma_c	N_MAG00006	N_rest
nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00374	GC_00004616	0	1	0	1	1	11
CRISPR-associated protein Csm1	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K07016	GC_00003280	0	1	0	1	1	11
nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00370	GC_00004610	0	1	0	1	1	11
CRISPR-associated protein Csm4	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19139	GC_00004884	0	1	0	1	1	11
L-malate glycosyltransferase [EC:2.4.1.-]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00754	GC_00003595	0	1	0	1	1	11
site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00571	GC_00003741	0	1	0	1	1	11
CRISPR-associated protein Csb2	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19132	GC_00004712	0	1	0	1	1	11
CRISPR-associated protein Csm2	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19138	GC_00003998	0	1	0	1	1	11
CRISPR-associated protein Csm3	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K09002	GC_00002893	0	1	0	1	1	11
nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00371	GC_00004082	0	1	0	1	1	11
CRISPR-associated protein Csx17	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19136	GC_00003243	0	1	0	1	1	11
CRISPR-associated protein Csx14	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19135	GC_00004624	0	1	0	1	1	11
nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00373	GC_00004363	0	1	0	1	1	11
DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K03018	GC_00003603	0	1	0	1	1	11
phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K05881	GC_00002907	0	1	0	1	1	11
CRISPR-associated protein Csm5	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19140	GC_00004047	0	1	0	1	1	11
phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K05879	GC_00002928, GC_00003692	0	1	0	1	1	11
phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K05878	GC_00003152	0	1	0	1	1	11
putative DNA primase/helicase	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K06919	GC_00004397	0	1	0	1	1	11
glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K00148	GC_00003294	0	1	0	1	1	11
membrane protein HdeD	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K21908	GC_00003643	0	1	0	1	1	11
CRISPR-associated protein Csb1	13.001948307514876	0.0015019753251705804	0.0435993584909749	MAG00006	K19131	GC_00004774	0	1	0	1	1	11
circadian clock protein KaiC	13.001948307514851	0.001501975325170599	0.0435993584909749	MAG00006, rest	K08482	GC_00001144, GC_00001695	0	1	1	1	1	11
large subunit ribosomal protein L24	13.001948307514851	0.001501975325170599	0.0435993584909749	MAG00006, rest	K02895	GC_00000849	0	1	1	1	1	11
basic amino acid/polyamine antiporter, APA family	13.001948307514851	0.001501975325170599	0.0435993584909749	MAG00006, rest	K03294	GC_00000987	0	1	1	1	1	11
o-succinylbenzoate synthase [EC:4.2.1.113]	13.001948307514844	0.0015019753251706044	0.0435993584909749	Ferroplasma_c, rest	K02549	GC_00000798	1	0	1	1	1	11
aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	13.001948307514839	0.0015019753251706083	0.0435993584909749	Ferroplasma_c	K03738	GC_00003745, GC_00004006	1	0	0	1	1	11
putative molybdopterin biosynthesis protein	13.001948307514839	0.0015019753251706083	0.0435993584909749	Ferroplasma_c	K07219	GC_00003130	1	0	0	1	1	11
MFS transporter, ACDE family, multidrug resistance protein	13.001948307514839	0.0015019753251706083	0.0435993584909749	Ferroplasma_c	K08221	GC_00004738	1	0	0	1	1	11
molybdate/tungstate transport system substrate-binding protein	13.001948307514839	0.0015019753251706083	0.0435993584909749	Ferroplasma_c	K15495	GC_00004635	1	0	0	1	1	11
3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	13.001948307514839	0.0015019753251706083	0.0435993584909749	Ferroplasma_c	K00038	GC_00004658	1	0	0	1	1	11
glycerol uptake facilitator protein	13.000017344463235	0.0015034261548612033	0.0435993584909749	Ferroplasma_c, MAG00006	K02440	GC_00002565	1	1	0	1	1	11
antitoxin CcdA	6.017261975390811	0.04935920588738659	1	MAG00006	K19164	GC_00002707	0	1	0.0909	1	1	11
exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	6.017261975390811	0.04935920588738659	1	MAG00006	K01524	GC_00002209	0	1	0.0909	1	1	11
outer membrane protein assembly factor BamB	6.017261975390811	0.04935920588738659	1	MAG00006	K17713	GC_00002514	0	1	0.0909	1	1	11
CRISPR-associated protein Cas5h	6.017261975390811	0.04935920588738659	1	MAG00006	K19116	GC_00002431	0	1	0.0909	1	1	11
hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24]	6.017261975390811	0.04935920588738659	1	MAG00006	K11173	GC_00002716	0	1	0.0909	1	1	11
CRISPR-associated protein Csh1	6.017261975390811	0.04935920588738659	1	MAG00006	K19114	GC_00003687, GC_00004254	0	1	0.0909	1	1	11
CRISPR-associated protein Csh2	6.017261975390811	0.04935920588738659	1	MAG00006	K19115	GC_00002833	0	1	0.0909	1	1	11
phosphohistidine phosphatase [EC:3.1.3.-]	6.017261975390811	0.04935920588738659	1	MAG00006	K08296	GC_00002086	0	1	0.0909	1	1	11
RNA-directed DNA polymerase [EC:2.7.7.49]	6.017261975390811	0.04935920588738659	1	MAG00006	K00986	GC_00003139, GC_00004905	0	1	0.0909	1	1	11
purine-nucleoside phosphorylase [EC:2.4.2.1]	6.0172619753908085	0.04935920588738666	1	MAG00006, rest	K03784	GC_00000974	0	1	0.9091	1	1	11
2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	6.017261975390807	0.0493592058873867	1	Ferroplasma_c	K09022	GC_00002553	1	0	0.0909	1	1	11
mRNA interferase RelE/StbE	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K06218	GC_00002258, GC_00002623, GC_00003194, GC_00003495, GC_00003961, GC_00004414	1	1	0.2727	1	1	11
CRISPR-associated protein Csc2	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K19121	GC_00002187, GC_00004161, GC_00004377	1	1	0.2727	1	1	11
CRISPR-associated protein Csc1	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K19120	GC_00002175, GC_00004090, GC_00004371	1	1	0.2727	1	1	11
mannonate dehydratase [EC:4.2.1.8]	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K01686	GC_00001510, GC_00004894	1	1	0.2727	1	1	11
putative oxidoreductase	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K15977	GC_00001470	1	1	0.2727	1	1	11
thiosulfate dehydrogenase (quinone) small subunit [EC:1.8.5.2]	3.7822567689968083	0.150901437889179	1	Ferroplasma_c, MAG00006	K16936	GC_00001717	1	1	0.2727	1	1	11
diacylglycerol kinase (ATP) [EC:2.7.1.107]	3.782256768996807	0.1509014378891791	1	rest	K07029	GC_00001616, GC_00002543, GC_00002805	0	0	0.7273	1	1	11
A/G-specific adenine glycosylase [EC:3.2.2.31]	3.7821050578195248	0.1509128850407367	1	Ferroplasma_c	K03575	GC_00002076	1	0	0.1818	1	1	11
perosamine synthetase [EC:2.6.1.102]	3.7821050578195248	0.1509128850407367	1	Ferroplasma_c	K13010	GC_00002203	1	0	0.1818	1	1	11
amidase [EC:3.5.1.4]	3.7821050578195248	0.1509128850407367	1	Ferroplasma_c	K01426	GC_00002208	1	0	0.1818	1	1	11
CRISPR-associated protein Csc3	3.7821050578195248	0.1509128850407367	1	Ferroplasma_c	K19122	GC_00002233	1	0	0.1818	1	1	11
multiple sugar transport system substrate-binding protein	3.7821050578195234	0.1509128850407368	1	MAG00006	K02027	GC_00001909	0	1	0.1818	1	1	11
(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]	3.7821050578195234	0.1509128850407368	1	MAG00006	K06044	GC_00002436, GC_00003236	0	1	0.1818	1	1	11
trans-aconitate 3-methyltransferase [EC:2.1.1.145]	3.7821050578195234	0.1509128850407368	1	MAG00006	K22438	GC_00002223	0	1	0.1818	1	1	11
DNA sulfur modification protein DndD	3.7821050578195234	0.1509128850407368	1	MAG00006	K19171	GC_00002818, GC_00004027	0	1	0.1818	1	1	11
iron complex transport system ATP-binding protein [EC:7.2.2.-]	3.7821050578195234	0.1509128850407368	1	MAG00006	K02013	GC_00002213	0	1	0.1818	1	1	11
adenosylcobinamide hydrolase [EC:3.5.1.90]	3.7821050578195234	0.1509128850407368	1	MAG00006	K08260	GC_00002486, GC_00004645	0	1	0.1818	1	1	11
maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01236	GC_00002114	0	1	0.1818	1	1	11
alpha-mannosidase [EC:3.2.1.24]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01191	GC_00001955	0	1	0.1818	1	1	11
N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01443	GC_00001800	0	1	0.1818	1	1	11
iron complex transport system permease protein	3.7821050578195234	0.1509128850407368	1	MAG00006	K02015	GC_00002185	0	1	0.1818	1	1	11
beta-N-acetylhexosaminidase [EC:3.2.1.52]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01207	GC_00001827	0	1	0.1818	1	1	11
isoamylase [EC:3.2.1.68]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01214	GC_00001672	0	1	0.1818	1	1	11
energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	3.7821050578195234	0.1509128850407368	1	MAG00006	K01552	GC_00002971, GC_00004297, GC_00004626	0	1	0.1818	1	1	11
energy-coupling factor transport system permease protein	3.7821050578195234	0.1509128850407368	1	MAG00006	K16785	GC_00002660, GC_00004818	0	1	0.1818	1	1	11
L-Ala-D/L-Glu epimerase [EC:5.1.1.20]	3.7821050578195234	0.1509128850407368	1	MAG00006	K19802	GC_00001965	0	1	0.1818	1	1	11
N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]	3.7821050578195234	0.1509128850407368	1	MAG00006	K07106	GC_00001650	0	1	0.1818	1	1	11
sphinganine-1-phosphate aldolase [EC:4.1.2.27]	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K01634	GC_00001120, GC_00001614	1	0	0.8182	1	1	11
protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K01772	GC_00001247	1	0	0.8182	1	1	11
benzoylformate decarboxylase [EC:4.1.1.7]	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K01576	GC_00001223, GC_00001582	1	0	0.8182	1	1	11
beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K06016	GC_00001224, GC_00001457	1	0	0.8182	1	1	11
replication factor C small subunit	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K04801	GC_00001070	1	0	0.8182	1	1	11
membrane dipeptidase [EC:3.4.13.19]	3.7821050578195212	0.15091288504073697	1	Ferroplasma_c, rest	K01273	GC_00001133	1	0	0.8182	1	1	11
mercuric reductase [EC:1.16.1.1]	3.78210505781952	0.15091288504073705	1	MAG00006, rest	K00520	GC_00000460, GC_00004686	0	1	0.8182	1	1	11
large subunit ribosomal protein L39e	3.78210505781952	0.15091288504073705	1	MAG00006, rest	K02924	GC_00001168	0	1	0.8182	1	1	11
CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	2.757923007699561	0.2518399521260562	1	Ferroplasma_c, MAG00006	K07464	GC_00002149, GC_00002389, GC_00003146, GC_00003369	1	1	0.3636	1	1	11
cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]	2.757923007699561	0.2518399521260562	1	Ferroplasma_c, MAG00006	K01485	GC_00001467	1	1	0.3636	1	1	11
alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	2.757923007699559	0.2518399521260564	1	rest	K00803	GC_00001460, GC_00002681	0	0	0.6364	1	1	11
death on curing protein	2.757923007699559	0.2518399521260564	1	rest	K07341	GC_00002202, GC_00002253, GC_00002432	0	0	0.6364	1	1	11
5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	2.757923007699559	0.2518399521260564	1	rest	K07451	GC_00000006, GC_00004350	0	0	0.6364	1	1	11
TldD protein	2.7577891690289174	0.25185680565216706	1	MAG00006, rest	K03568	GC_00001308	0	1	0.7273	1	1	11
putative monooxygenase	2.7577891690289174	0.25185680565216706	1	MAG00006, rest	K14673	GC_00001171	0	1	0.7273	1	1	11
drug/metabolite transporter, DME family	2.7577891690289174	0.25185680565216706	1	MAG00006, rest	K03298	GC_00001623, GC_00001809	0	1	0.7273	1	1	11
glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]	2.7577891690289174	0.25185680565216706	1	MAG00006, rest	K18124	GC_00001314	0	1	0.7273	1	1	11
PmbA protein	2.7577891690289174	0.25185680565216706	1	MAG00006, rest	K03592	GC_00001114	0	1	0.7273	1	1	11
stage II sporulation protein M	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	K06384	GC_00001288	1	0	0.7273	1	1	11
cysteine synthase [EC:2.5.1.47]	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	K01738	GC_00001252	1	0	0.7273	1	1	11
histidine ammonia-lyase [EC:4.3.1.3]	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	K01745	GC_00001267	1	0	0.7273	1	1	11
proline racemase [EC:5.1.1.4]	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	K01777	GC_00001264	1	0	0.7273	1	1	11
arsenite methyltransferase [EC:2.1.1.137]	2.7577891690289165	0.25185680565216717	1	Ferroplasma_c, rest	K07755	GC_00001099	1	0	0.7273	1	1	11
beta-lactamase class A [EC:3.5.2.6]	2.757789169028916	0.2518568056521672	1	MAG00006	K17836	GC_00001707	0	1	0.2727	1	1	11
gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	2.757789169028916	0.2518568056521672	1	MAG00006	K20742	GC_00001258	0	1	0.2727	1	1	11
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	2.757789169028916	0.2518568056521672	1	MAG00006	K07259	GC_00001713	0	1	0.2727	1	1	11
putative DNA-invertase from lambdoid prophage Rac	2.7577891690289156	0.2518568056521673	1	Ferroplasma_c	K14060	GC_00002507, GC_00002633	1	0	0.2727	1	1	11
GDPmannose 4,6-dehydratase [EC:4.2.1.47]	2.7577891690289156	0.2518568056521673	1	Ferroplasma_c	K01711	GC_00001927	1	0	0.2727	1	1	11
large subunit ribosomal protein L37e	2.7577891690289156	0.2518568056521673	1	Ferroplasma_c	K02922	GC_00001857	1	0	0.2727	1	1	11
starch synthase (maltosyl-transferring) [EC:2.4.99.16]	2.245613377701253	0.3253653126947218	1	MAG00006	K16147	GC_00001699	0	1	0.3636	1	1	11
taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	2.245613377701253	0.3253653126947218	1	MAG00006	K15372	GC_00001546	0	1	0.3636	1	1	11
1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]	2.245613377701253	0.3253653126947218	1	MAG00006	K02548	GC_00001685, GC_00002358, GC_00002455, GC_00002482	0	1	0.3636	1	1	11
maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	2.245613377701253	0.3253653126947218	1	MAG00006	K05343	GC_00001642	0	1	0.3636	1	1	11
putative protease [EC:3.4.-.-]	2.245613377701253	0.3253653126947218	1	MAG00006	K08303	GC_00001687	0	1	0.3636	1	1	11
glycolate oxidase [EC:1.1.3.15]	2.245613377701253	0.3253653126947218	1	MAG00006	K00104	GC_00001721	0	1	0.3636	1	1	11
type I restriction enzyme, S subunit [EC:3.1.21.3]	2.245613377701253	0.3253653126947218	1	MAG00006	K01154	GC_00002919, GC_00003329, GC_00004041, GC_00004203, GC_00004324, GC_00004576	0	1	0.3636	1	1	11
DNA-directed RNA polymerase subunit P [EC:2.7.7.6]	2.245613377701253	0.3253653126947218	1	MAG00006	K03059	GC_00001603	0	1	0.3636	1	1	11
1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	2.245613377701253	0.3253653126947218	1	MAG00006	K00700	GC_00001682	0	1	0.3636	1	1	11
diaminopimelate decarboxylase [EC:4.1.1.20]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K01586	GC_00001608, GC_00001874	1	0	0.6364	1	1	11
urocanate hydratase [EC:4.2.1.49]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K01712	GC_00001392	1	0	0.6364	1	1	11
sarcosine oxidase, subunit beta [EC:1.5.3.1]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K00303	GC_00001403	1	0	0.6364	1	1	11
putative resolvase	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K07450	GC_00000023, GC_00000925, GC_00001528	1	0	0.6364	1	1	11
glycogen synthase [EC:2.4.1.11]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K16150	GC_00001260	1	0	0.6364	1	1	11
alcohol dehydrogenase [EC:1.1.1.-]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K19954	GC_00001312	1	0	0.6364	1	1	11
chorismate dehydratase [EC:4.2.1.151]	2.245613377701251	0.3253653126947222	1	Ferroplasma_c, rest	K11782	GC_00001347	1	0	0.6364	1	1	11
potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K01547	GC_00001640, GC_00001999	0	1	0.6364	1	1	11
copper chaperone	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K07213	GC_00000926	0	1	0.6364	1	1	11
potassium-transporting ATPase potassium-binding subunit	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K01546	GC_00001671, GC_00002003	0	1	0.6364	1	1	11
potassium-transporting ATPase KdpC subunit	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K01548	GC_00001712, GC_00002001	0	1	0.6364	1	1	11
mRNA interferase MazF [EC:3.1.-.-]	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K07171	GC_00001622, GC_00003112, GC_00004551, GC_00004847	0	1	0.6364	1	1	11
trimeric autotransporter adhesin	2.24561337770125	0.32536531269472235	1	MAG00006, rest	K21449	GC_00001220	0	1	0.6364	1	1	11
type III restriction enzyme [EC:3.1.21.5]	2.2456133777012495	0.3253653126947224	1	Ferroplasma_c	K01156	GC_00002655, GC_00002867, GC_00002982, GC_00003434	1	0	0.3636	1	1	11
DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	2.2456133777012495	0.3253653126947224	1	Ferroplasma_c	K00558	GC_00002089, GC_00004173, GC_00004340	1	0	0.3636	1	1	11
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	2.2456133777012495	0.3253653126947224	1	Ferroplasma_c	K01596	GC_00001544	1	0	0.3636	1	1	11
CRISPR-associated protein Cas2	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K09951	GC_00002262, GC_00002492, GC_00002718, GC_00003070, GC_00003939, GC_00003954, GC_00003986	1	1	0.4545	1	1	11
aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K18125	GC_00001229	1	1	0.4545	1	1	11
CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K19091	GC_00002136, GC_00002717, GC_00002989, GC_00003531, GC_00004542, GC_00004720	1	1	0.4545	1	1	11
4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K14466	GC_00001435	1	1	0.4545	1	1	11
CRISP-associated protein Cas1	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K15342	GC_00001866, GC_00002362, GC_00002376, GC_00002478, GC_00004304, GC_00004749	1	1	0.4545	1	1	11
CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K07012	GC_00002371, GC_00002599, GC_00003058, GC_00003857, GC_00004128, GC_00004152, GC_00004803	1	1	0.4545	1	1	11
dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K01790	GC_00001237	1	1	0.4545	1	1	11
nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]	2.026289952246535	0.36307531891251305	1	Ferroplasma_c, MAG00006	K10822	GC_00001482	1	1	0.4545	1	1	11
plasmid segregation protein ParM	2.026289952246534	0.3630753189125133	1	rest	K18640	GC_00001543	0	0	0.5455	1	1	11
antitoxin HicB	2.026289952246534	0.3630753189125133	1	rest	K18843	GC_00001393	0	0	0.5455	1	1	11
methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	2.0260265436000293	0.363123140650776	1	Ferroplasma_c	K00567	GC_00001598	1	0	0.4545	1	1	11
tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	2.0260265436000293	0.363123140650776	1	Ferroplasma_c	K15256	GC_00001653, GC_00002488	1	0	0.4545	1	1	11
