Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen	13.0019483075149	0.00150197532517058	0.0811066675592126	MAG00006	M00530!!!M00529	GC_00004616	0	KEGG_Module	Yes	1.09094344214954
Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen!!!Complete nitrification, comammox, ammonia => nitrite => nitrate	13.0019483075149	0.00150197532517058	0.0811066675592126	MAG00006	M00530!!!M00529!!!M00804	GC_00004082, GC_00004610	0	KEGG_Module	Yes	1.09094344214954
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol!!!Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	13.0019483075148	0.0015019753251706	0.0811066675592126	Ferroplasma_c, rest	M00116!!!M00932	GC_00000798	1	KEGG_Module	No	1.09094344214954
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	3.78225676899681	0.150901437889179	1	Ferroplasma_c, MAG00006	M00061	GC_00001510, GC_00004894	0.2727	KEGG_Module	No	0
Trehalose biosynthesis, D-glucose 1P => trehalose	3.78210505781952	0.150912885040737	1	MAG00006	M00565	GC_00001672, GC_00002114, GC_00002436, GC_00003236	0.1818	KEGG_Module	No	0
Sphingosine degradation	3.78210505781952	0.150912885040737	1	Ferroplasma_c, rest	M00100	GC_00001120, GC_00001614	0.8182	KEGG_Module	No	0
Cysteine biosynthesis, serine => cysteine	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	M00021	GC_00001252	0.7273	KEGG_Module	No	0
beta-Lactam resistance, Bla system	2.75778916902892	0.251856805652167	1	MAG00006	M00627	GC_00001707	0.2727	KEGG_Module	No	0
Glycogen biosynthesis, glucose-1P => glycogen/starch!!!Trehalose biosynthesis, D-glucose 1P => trehalose	2.24561337770125	0.325365312694722	1	MAG00006	M00854!!!M00565	GC_00001682	0.3636	KEGG_Module	No	0
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	2.24561337770125	0.325365312694722	1	MAG00006	M00116	GC_00001685, GC_00002358, GC_00002455, GC_00002482	0.3636	KEGG_Module	No	0
Glycogen biosynthesis, glucose-1P => glycogen/starch	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	M00854	GC_00001260	0.6364	KEGG_Module	No	0
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	M00016!!!M00525!!!M00526!!!M00527	GC_00001608, GC_00001874	0.6364	KEGG_Module	No	0
Hydroxypropionate-hydroxybutylate cycle	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	M00375	GC_00001435	0.4545	KEGG_Module	No	0
Assimilatory sulfate reduction, sulfate => H2S!!!Sulfate-sulfur assimilation	2.02602654360003	0.363123140650776	1	rest, MAG00006	M00176!!!M00616	GC_00001916, GC_00002606, GC_00003384	0.5455	KEGG_Module	No	0
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	2.02602654360003	0.363123140650776	1	MAG00006	M00552	GC_00001291	0.4545	KEGG_Module	No	0
dTDP-L-rhamnose biosynthesis	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	M00793	GC_00001237, GC_00001309, GC_00001375, GC_00001476, GC_00002153, GC_00003043, GC_00003509, GC_00003744, GC_00004050	0.5455	KEGG_Module	No	0
Leucine degradation, leucine => acetoacetate + acetyl-CoA	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	M00036	GC_00001208	0.5455	KEGG_Module	No	0
Glucuronate pathway (uronate pathway)	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	M00014	GC_00001522, GC_00001744, GC_00001975, GC_00003059	0.6364	KEGG_Module	No	0
NAD biosynthesis, aspartate => quinolinate => NAD!!!NAD biosynthesis, tryptophan => quinolinate => NAD	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	M00115!!!M00912	GC_00001321	0.6364	KEGG_Module	No	0
Nicotinate degradation, nicotinate => fumarate	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	M00622	GC_00001378, GC_00002204, GC_00004245	0.6364	KEGG_Module	No	0
Photorespiration!!!Formaldehyde assimilation, serine pathway	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	M00532!!!M00346	GC_00001387, GC_00003027	0.6364	KEGG_Module	No	0
Methanogenesis, CO2 => methane!!!Methanogen	1.05036799281503	0.591446530317769	1	rest	M00567!!!M00617	GC_00002251, GC_00002998	0.3636	KEGG_Module	No	0
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!Acetogen	1.05036799281503	0.591446530317769	1	rest	M00377!!!M00618	GC_00001761	0.3636	KEGG_Module	No	0
Assimilatory sulfate reduction, sulfate => H2S!!!Dissimilatory sulfate reduction, sulfate => H2S!!!Sulfate-sulfur assimilation	0.708998731027544	0.701524562698999	1	rest	M00176!!!M00596!!!M00616	GC_00002480, GC_00003756	0.2727	KEGG_Module	No	0
beta-Oxidation, acyl-CoA synthesis	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	M00086	GC_00000051	0.7273	KEGG_Module	No	0
Cytochrome c oxidase, prokaryotes	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	M00155	GC_00000981, GC_00001222	0.7273	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Nucleotide sugar biosynthesis, glucose => UDP-glucose!!!UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	M00001!!!M00549!!!M00892!!!M00909	GC_00001196	0.7273	KEGG_Module	No	0
Glyoxylate cycle	0.708998731027544	0.701524562698999	1	rest	M00012	GC_00002181	0.2727	KEGG_Module	No	0
Heme biosynthesis, archaea, siroheme => heme	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	M00847	GC_00001153	0.7273	KEGG_Module	No	0
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	0.708998731027544	0.701524562698999	1	rest	M00013	GC_00001545	0.2727	KEGG_Module	No	0
Menaquinone biosynthesis, futalosine pathway!!!Menaquinone biosynthesis, modified futalosine pathway	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	M00930!!!M00931	GC_00001155, GC_00001201, GC_00001347	0.7273	KEGG_Module	No	0
N-glycan precursor biosynthesis	0.708998731027544	0.701524562698999	1	rest	M00055	GC_00001911	0.2727	KEGG_Module	No	0
Purine degradation, xanthine => urea	0.708998731027544	0.701524562698999	1	rest	M00546	GC_00002080	0.2727	KEGG_Module	No	0
Coenzyme A biosynthesis, pantothenate => CoA	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00120	GC_00000982, GC_00004614	0.8182	KEGG_Module	No	0
Heme biosynthesis, animals and fungi, glycine => heme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00868!!!M00121!!!M00926	GC_00001112, GC_00001247	0.8182	KEGG_Module	No	0
