row,NAME,CLASS,PATHWAY.ID,PATHWAY,avg_unique_KOs_ferroplasma,avg_unique_KOs_other,gap
52,Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01230,map01100,Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,2.5,8.28,5.78
51,Ornithine biosynthesis, glutamate => ornithine,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220,map01210,map01230,map01100,Arginine biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,0,4.31,4.31
50,Ectoine degradation, ectoine => aspartate,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,map00260,map01100,map01120,Glycine, serine and threonine metabolism,Metabolic pathways,Microbial metabolism in diverse environments,0,4,4
49,Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01230,map01100,map01110,Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,1.5,5.44,3.94
48,Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01230,map01100,Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,1.5,5.39,3.89
47,Arginine succinyltransferase pathway, arginine => glutamate,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00330,map01100,Arginine and proline metabolism,Metabolic pathways,0,3.5,3.5
46,Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01230,map01100,Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,1.5,4.78,3.28
45,Methionine biosynthesis, aspartate => homoserine => methionine,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map01230,map01100,Cysteine and methionine metabolism,Biosynthesis of amino acids,Metabolic pathways,3.5,5.89,2.39
44,Histidine biosynthesis, PRPP => histidine,Pathway modules; Amino acid metabolism; Histidine metabolism,map00340,map01230,map01100,map01110,Histidine metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,6.5,8.75,2.25
43,Histidine degradation, histidine => N-formiminoglutamate => glutamate,Pathway modules; Amino acid metabolism; Histidine metabolism,map00340,map01100,Histidine metabolism,Metabolic pathways,2,4.18,2.18
42,Tyrosine biosynthesis, chorismate => HPP => tyrosine,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00400,map01230,map01100,Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of amino acids,Metabolic pathways,0,1.94,1.94
41,Arginine biosynthesis, glutamate => acetylcitrulline => arginine,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220,map01230,map01100,Arginine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,2,3.88,1.88
40,Proline biosynthesis, glutamate => proline,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00330,map01230,map01100,Arginine and proline metabolism,Biosynthesis of amino acids,Metabolic pathways,1,2.81,1.81
39,Tryptophan biosynthesis, chorismate => tryptophan,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00400,map01230,map01100,map01110,Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,4,5.72,1.72
38,Leucine degradation, leucine => acetoacetate + acetyl-CoA,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,map00280,map01100,Valine, leucine and isoleucine degradation,Metabolic pathways,3,4.56,1.56
37,Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,map00290,map00770,map01210,map01230,map01100,map01110,Valine, leucine and isoleucine biosynthesis,Pantothenate and CoA biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,3,4.56,1.56
36,Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00400,map01230,map01100,map01110,Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,5,6.53,1.53
35,Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,map00290,map01230,map01100,Valine, leucine and isoleucine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,4,5.5,1.5
34,GABA biosynthesis, prokaryotes, putrescine => GABA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis,map00330,map01100,Arginine and proline metabolism,Metabolic pathways,0,1.5,1.5
33,Glutathione biosynthesis, glutamate => glutathione,Pathway modules; Amino acid metabolism; Other amino acid metabolism,map00480,map01240,map01100,Glutathione metabolism,Biosynthesis of cofactors,Metabolic pathways,0,1.38,1.38
32,Polyamine biosynthesis, arginine => ornithine => putrescine,Pathway modules; Amino acid metabolism; Polyamine biosynthesis,map00330,map01100,Arginine and proline metabolism,Metabolic pathways,0,1.33,1.33
31,Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,map00290,map01210,map01230,map01100,map01110,Valine, leucine and isoleucine biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,2,3.28,1.28
30,Tyrosine biosynthesis, chorismate => arogenate => tyrosine,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00400,map01230,map01100,map01110,Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,0,1.17,1.17
29,Lysine degradation, lysine => saccharopine => acetoacetyl-CoA,Pathway modules; Amino acid metabolism; Lysine metabolism,map00310,map01210,map01100,Lysine degradation,2-Oxocarboxylic acid metabolism,Metabolic pathways,1,2.17,1.17
28,Threonine biosynthesis, aspartate => homoserine => threonine,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,map00260,map01230,map01100,map01110,Glycine, serine and threonine metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,3.5,4.61,1.11
27,Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00380,map01100,map01110,Tryptophan metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,0,1,1
26,Betaine biosynthesis, choline => betaine,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,map00260,map00670,map01100,Glycine, serine and threonine metabolism,One carbon pool by folate,Metabolic pathways,0,1,1
25,Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01210,map01230,map01100,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,0,1,1
24,Cysteine biosynthesis, homocysteine + serine => cysteine,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00260,map00270,map00670,map01230,map01100,Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,One carbon pool by folate,Biosynthesis of amino acids,Metabolic pathways,0,1,1
23,Creatine pathway,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00330,map00260,map01100,Arginine and proline metabolism,Glycine, serine and threonine metabolism,Metabolic pathways,0,1,1
22,Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00350,map01100,Tyrosine metabolism,Metabolic pathways,0,1,1
21,Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00380,map01100,Tryptophan metabolism,Metabolic pathways,0,1,1
20,Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01230,map01100,Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,0,1,1
19,Cysteine biosynthesis, serine => cysteine,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map00920,map01200,map01230,map01100,map01110,Cysteine and methionine metabolism,Sulfur metabolism,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,1,1.87,0.87
18,Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00380,map01100,Tryptophan metabolism,Metabolic pathways,1,1.86,0.86
17,Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00400,map01230,map01100,map01110,Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,1,1.76,0.76
16,Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00350,map01220,map01100,map01120,Tyrosine metabolism,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments,1,1.67,0.67
15,Serine biosynthesis, glycerate-3P => serine,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,map00260,map00680,map01200,map01230,map01100,Glycine, serine and threonine metabolism,Methane metabolism,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways,2,2.59,0.59
14,Isoleucine biosynthesis, pyruvate => 2-oxobutanoate,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,map00290,map00660,map01210,map01230,map01100,Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,2,2.53,0.53
13,Cysteine biosynthesis, methionine => cysteine,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map01230,map01100,Cysteine and methionine metabolism,Biosynthesis of amino acids,Metabolic pathways,1,1.44,0.44
12,Ectoine biosynthesis, aspartate => ectoine,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,map00260,map01210,map01230,map01100,map01120,Glycine, serine and threonine metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,Microbial metabolism in diverse environments,1.5,1.89,0.39
11,GABA (gamma-Aminobutyrate) shunt,Pathway modules; Amino acid metabolism; Other amino acid metabolism,map00250,map00650,map01100,Alanine, aspartate and glutamate metabolism,Butanoate metabolism,Metabolic pathways,2,2.18,0.18
10,Ethylene biosynthesis, methionine => ethylene,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map01100,map01110,Cysteine and methionine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,1,1,0
9,GABA biosynthesis, eukaryotes, putrescine => GABA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis,map00330,map01100,Arginine and proline metabolism,Metabolic pathways,1,1,0
8,Urea cycle,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220,map01230,map01100,Arginine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,3,3,0
7,Methionine degradation,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map00670,map01100,Cysteine and methionine metabolism,One carbon pool by folate,Metabolic pathways,2.5,2.44,-0.06
6,Arginine biosynthesis, ornithine => arginine,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220,map01230,map01100,Arginine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,3,2.88,-0.12
5,Tyrosine degradation, tyrosine => homogentisate,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00350,map01100,Tyrosine metabolism,Metabolic pathways,2.5,2.11,-0.39
4,Methionine salvage pathway,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270,map01100,Cysteine and methionine metabolism,Metabolic pathways,4.5,4.06,-0.44
3,Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine,Pathway modules; Amino acid metabolism; Polyamine biosynthesis,map00330,map01100,Arginine and proline metabolism,Metabolic pathways,4,2.77,-1.23
2,Ornithine biosynthesis, mediated by LysW, glutamate => ornithine,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220,map01210,map01230,map01100,Arginine biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,4,2.5,-1.5
1,Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine,Pathway modules; Amino acid metabolism; Lysine metabolism,map00300,map01210,map01230,map01100,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,5,3,-2
