"","Function","enrichment_score","unadjusted_p_value","adjusted_q_value","associated_groups","accession","gene_clusters_ids","p_rest","category","Presence","pvalue","Significance","Function_highlight"
"1","Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen",13.002,0.002,0.081,"MAG00006","M00530!!!M00529","GC_00004616",0,"KEGG_Module","No",1.09094344214954,"Yes",NA
"2","Dissimilatory nitrate reduction, nitrate => ammonia!!!Denitrification, nitrate => nitrogen!!!Complete nitrification, comammox, ammonia => nitrite => nitrate",13.002,0.002,0.081,"MAG00006","M00530!!!M00529!!!M00804","GC_00004082, GC_00004610",0,"KEGG_Module","No",1.09094344214954,"Yes",NA
"163","nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]",13.002,0.002,0.044,"MAG00006","K00374","GC_00004616",0,"KOfam","No",1.36051990077452,"Yes",NA
"164","CRISPR-associated protein Csm1",13.002,0.002,0.044,"MAG00006","K07016","GC_00003280",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"165","nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]",13.002,0.002,0.044,"MAG00006","K00370","GC_00004610",0,"KOfam","No",1.36051990077452,"Yes",NA
"166","CRISPR-associated protein Csm4",13.002,0.002,0.044,"MAG00006","K19139","GC_00004884",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"167","L-malate glycosyltransferase [EC:2.4.1.-]",13.002,0.002,0.044,"MAG00006","K00754","GC_00003595",0,"KOfam","No",1.36051990077452,"Yes",NA
"168","site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]",13.002,0.002,0.044,"MAG00006","K00571","GC_00003741",0,"KOfam","No",1.36051990077452,"Yes",NA
"169","CRISPR-associated protein Csb2",13.002,0.002,0.044,"MAG00006","K19132","GC_00004712",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"170","CRISPR-associated protein Csm2",13.002,0.002,0.044,"MAG00006","K19138","GC_00003998",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"171","CRISPR-associated protein Csm3",13.002,0.002,0.044,"MAG00006","K09002","GC_00002893",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"172","nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]",13.002,0.002,0.044,"MAG00006","K00371","GC_00004082",0,"KOfam","No",1.36051990077452,"Yes",NA
"173","CRISPR-associated protein Csx17",13.002,0.002,0.044,"MAG00006","K19136","GC_00003243",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"174","CRISPR-associated protein Csx14",13.002,0.002,0.044,"MAG00006","K19135","GC_00004624",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"175","nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW",13.002,0.002,0.044,"MAG00006","K00373","GC_00004363",0,"KOfam","No",1.36051990077452,"Yes",NA
