"","KEGG_Module_ACC","p_value","SD_unique_KOs","avg_unique_KOs","avg_unique_KOs_ferroplasma","avg_unique_KOs_other","is_ferroplasma","ratio","NAME","CLASS","PATHWAY-ID","PATHWAY","NR-ORTHOLOGY","class"
"1","M00001",0.457929714471852,2.73687343340466,9.76190476190476,7,10.0526315789474,"FALSE",0.696335078534031,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00010,map01200,map01100","Glycolysis / Gluconeogenesis,Carbon metabolism,Metabolic pathways","14"," Carbohydrate metabolism"
"2","M00002",0.457929714471852,0.717137165600636,5.71428571428571,5,5.78947368421053,"FALSE",0.863636363636364,"Glycolysis, core module involving three-carbon compounds","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00010,map01200,map01230,map01100","Glycolysis / Gluconeogenesis,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways","7"," Carbohydrate metabolism"
"3","M00003",0.457929714471852,1.81396697612613,7.76190476190476,5.5,8,"FALSE",0.6875,"Gluconeogenesis, oxaloacetate => fructose-6P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00010,map00020,map01100","Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Metabolic pathways","9"," Carbohydrate metabolism"
"4","M00004",0.457929714471852,2.32992949004287,6.85714285714286,5,7.05263157894737,"FALSE",0.708955223880597,"Pentose phosphate pathway (Pentose phosphate cycle)","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map01200,map01100,map01120","Pentose phosphate pathway,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","9"," Carbohydrate metabolism"
"5","M00005",NA,0,1,1,1,"FALSE",1,"PRPP biosynthesis, ribose 5P => PRPP","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map00230,map01200,map01230,map01100","Pentose phosphate pathway,Purine metabolism,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways","1"," Carbohydrate metabolism"
"6","M00006",0.449711055848699,0.703731550548997,2.73333333333333,0,2.73333333333333,"NA",0,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map01200,map01100,map01120","Pentose phosphate pathway,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","4"," Carbohydrate metabolism"
"7","M00007",0.456836125591962,0.732695097065047,4.3,4,4.33333333333333,"FALSE",0.923076923076923,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map01200,map01230,map01100,map01120","Pentose phosphate pathway,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways,Microbial metabolism in diverse environments","4"," Carbohydrate metabolism"
"8","M00008",0.449711055848699,0.975900072948533,2.33333333333333,0,2.33333333333333,"NA",0,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map01200,map01100,map01120","Pentose phosphate pathway,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","4"," Carbohydrate metabolism"
"9","M00009",0.456836125591962,3.48643989735873,12.55,12,12.6111111111111,"FALSE",0.951541850220264,"Citrate cycle (TCA cycle, Krebs cycle)","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00020,map01200,map01100","Citrate cycle (TCA cycle),Carbon metabolism,Metabolic pathways","19"," Carbohydrate metabolism"
"10","M00010",0.456836125591962,0.670820393249937,2.65,3,2.61111111111111,"TRUE",1.14893617021277,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00020,map01200,map01210,map01230,map01100","Citrate cycle (TCA cycle),Carbon metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways","5"," Carbohydrate metabolism"
"11","M00011",0.456836125591963,3.14391643119148,9.9,9,10,"FALSE",0.9,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00020,map01200,map01210,map01100","Citrate cycle (TCA cycle),Carbon metabolism,2-Oxocarboxylic acid metabolism,Metabolic pathways","12"," Carbohydrate metabolism"
"12","M00012",0.456836125591962,1.40955386745706,3.25,3,3.27777777777778,"FALSE",0.915254237288136,"Glyoxylate cycle","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00630,map01200,map01100,map01110","Glyoxylate and dicarboxylate metabolism,Carbon metabolism,Metabolic pathways,Biosynthesis of secondary metabolites","7"," Carbohydrate metabolism"
"13","M00013",0.443263278426466,0.389249472080761,1.16666666666667,0,1.16666666666667,"NA",0,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00410,map00640,map01200,map01100","beta-Alanine metabolism,Propanoate metabolism,Carbon metabolism,Metabolic pathways","7"," Carbohydrate metabolism"
"14","M00014",0.452960809486995,0.874474632195206,1.52941176470588,1,1.5625,"FALSE",0.64,"Glucuronate pathway (uronate pathway)","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00040,map01100","Pentose and glucuronate interconversions,Metabolic pathways","11"," Carbohydrate metabolism"
"15","M00015",0.454366113790637,0.777544316035229,2.61111111111111,1,2.8125,"FALSE",0.355555555555556,"Proline biosynthesis, glutamate => proline","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","map00330,map01230,map01100","Arginine and proline metabolism,Biosynthesis of amino acids,Metabolic pathways","4"," Amino acid metabolism"
"16","M00016",0.456836125591962,2.95759504007101,7.7,2.5,8.27777777777778,"FALSE",0.302013422818792,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","map00300,map01230,map01100","Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways","9"," Amino acid metabolism"
"17","M00017",0.456836125591962,2.25423577900991,5.65,3.5,5.88888888888889,"FALSE",0.594339622641509,"Methionine biosynthesis, aspartate => homoserine => methionine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","map00270,map01230,map01100","Cysteine and methionine metabolism,Biosynthesis of amino acids,Metabolic pathways","7"," Amino acid metabolism"
"18","M00018",0.456836125591962,1.14707866935281,4.5,3.5,4.61111111111111,"FALSE",0.759036144578313,"Threonine biosynthesis, aspartate => homoserine => threonine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","map00260,map01230,map01100,map01110","Glycine, serine and threonine metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites","5"," Amino acid metabolism"
"19","M00019",0.456836125591963,1.23117402250218,4.4,3,4.55555555555556,"FALSE",0.658536585365854,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","map00290,map00770,map01210,map01230,map01100,map01110","Valine, leucine and isoleucine biosynthesis,Pantothenate and CoA biosynthesis,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites","4"," Amino acid metabolism"
