unique_id,gene_cluster_id,bin_name,genome_name,gene_callers_id,num_genomes_gene_cluster_has_hits,num_genes_in_gene_cluster,max_num_paralogs,SCG,functional_homogeneity_index,geometric_homogeneity_index,combined_homogeneity_index,COG20_CATEGORY_ACC,COG20_CATEGORY,KOfam_ACC,KOfam,COG20_PATHWAY_ACC,COG20_PATHWAY,COG20_FUNCTION_ACC,COG20_FUNCTION,KEGG_Class_ACC,KEGG_Class,KEGG_Module_ACC,KEGG_Module
22141,GC_00002371,Singleton2,SMAG00006,2331,2,2,1,0,0.719143576826196,0.963954983543519,0.823745027281882,V,Defense mechanisms,K07012,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-],COG1203,CRISPR-Cas system,COG1203,CRISPR-Cas type I system-associated endonuclease/helicase Cas3 (Cas3),,,,
22261,GC_00002431,Singleton2,SMAG00006,2332,2,2,1,0,0.744791666666667,0.984704484704484,0.848107922941317,V,Defense mechanisms,K19116,CRISPR-associated protein Cas5h,COG1688,CRISPR-Cas system,COG1688,"CRISPR/Cas system-associated protein Cas5, RAMP superfamily (Cas5)",,,,
22383,GC_00002492,Singleton2,SMAG00006,2328,2,2,1,0,0.908045977011494,1,0.951807228915663,V,Defense mechanisms,K09951,CRISPR-associated protein Cas2,COG1343,CRISPR-Cas system,COG1343,CRISPR/Cas system-associated endoribonuclease Cas2 (Cas2) (PDB:2I0X),,,,
22833,GC_00002717,Singleton2,SMAG00006,2335,2,2,1,0,0.821862348178138,0.991984065293433,0.89894529900906,V,Defense mechanisms,K19091,CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-],COG1583,CRISPR-Cas system,COG1583,"CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily (Cas6) (PDB:5YI6)",,,,
23065,GC_00002833,Singleton2,SMAG00006,2333,2,2,1,0,0.816393442622951,0.971703872530064,0.887303686418193,V,Defense mechanisms,K19115,CRISPR-associated protein Csh2,COG3649,CRISPR-Cas system,COG3649,"CRISPR-Cas system type I effector complex subunit Cas7,  RAMP superfamily (Cas7)",,,,
23125,GC_00002893,Singleton,SMAG00006,173,1,1,1,0,1,1,1,V,Defense mechanisms,K09002,CRISPR-associated protein Csm3,COG1337,CRISPR-Cas system,COG1337,"CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group (Csm3) (PDB:6IFN)",,,,
23221,GC_00002989,Singleton,SMAG00006,176,1,1,1,0,1,1,1,V,Defense mechanisms,K19091,CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-],COG1583,CRISPR-Cas system,COG1583,"CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily (Cas6) (PDB:5YI6)",,,,
23290,GC_00003058,Singleton,SMAG00006,927,1,1,1,0,1,1,1,V,Defense mechanisms,K07012,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-],COG1203,CRISPR-Cas system,COG1203,CRISPR-Cas type I system-associated endonuclease/helicase Cas3 (Cas3),,,,
23302,GC_00003070,Singleton,SMAG00006,1160,1,1,1,0,1,1,1,V,Defense mechanisms,K09951,CRISPR-associated protein Cas2,COG1343,CRISPR-Cas system,COG1343,CRISPR/Cas system-associated endoribonuclease Cas2 (Cas2) (PDB:2I0X),,,,
23378,GC_00003146,Singleton,SMAG00006,1158,1,1,1,0,1,1,1,V,Defense mechanisms,K07464,CRISPR-associated exonuclease Cas4 [EC:3.1.12.1],COG1468,CRISPR-Cas system,COG1468,"CRISPR/Cas system-associated exonuclease Cas4, RecB family (Cas4) (PDB:4R5Q)",,,,
23475,GC_00003243,Singleton,SMAG00006,926,1,1,1,0,1,1,1,V,Defense mechanisms,K19136,CRISPR-associated protein Csx17,COG5944,CRISPR-Cas system,COG5944,CRISPR-Cas system type I-G effector complex large subunit Cas8g1 (Cas8g1),,,,
23512,GC_00003280,Singleton,SMAG00006,175,1,1,1,0,1,1,1,V,Defense mechanisms,K07016,CRISPR-associated protein Csm1,COG1353,CRISPR-Cas system,COG1353,"CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain (Cas10) (PDB:6IFN)",,,,
23601,GC_00003369,Singleton,SMAG00006,2330,1,1,1,0,1,1,1,V,Defense mechanisms,K07464,CRISPR-associated exonuclease Cas4 [EC:3.1.12.1],COG1468,CRISPR-Cas system,COG1468,"CRISPR/Cas system-associated exonuclease Cas4, RecB family (Cas4) (PDB:4R5Q)",,,,
23919,GC_00003687,Singleton,SMAG00006,2334,1,1,1,0,1,1,1,V,Defense mechanisms,K19114,CRISPR-associated protein Csh1,COG5938,CRISPR-Cas system,COG5938,CRISPR-Cas system type I-B effector complex large subunit Cas8b1 (Cas8b1),,,,
24186,GC_00003954,Singleton,SMAG00006,717,1,1,1,0,1,1,1,V,Defense mechanisms,K09951,CRISPR-associated protein Cas2,COG1343,CRISPR-Cas system,COG1343,CRISPR/Cas system-associated endoribonuclease Cas2 (Cas2) (PDB:2I0X),,,,
24218,GC_00003986,Singleton,SMAG00006,168,1,1,1,0,1,1,1,V,Defense mechanisms,K09951,CRISPR-associated protein Cas2,COG1343,CRISPR-Cas system,COG1343,CRISPR/Cas system-associated endoribonuclease Cas2 (Cas2) (PDB:2I0X),,,,
24230,GC_00003998,Singleton,SMAG00006,174,1,1,1,0,1,1,1,V,Defense mechanisms,K19138,CRISPR-associated protein Csm2,COG1421,CRISPR-Cas system,COG1421,CRISPR-Cas system type III CSM-effector complex small subunit Csm2 (Csm2) (PDB:5AN6),,,,
24279,GC_00004047,Singleton,SMAG00006,171,1,1,1,0,1,1,1,V,Defense mechanisms,K19140,CRISPR-associated protein Csm5,COG1332,CRISPR-Cas system,COG1332,"CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group (Csm5)",,,,
24603,GC_00004371,Singleton,SMAG00006,1156,1,1,1,0,1,1,1,,,K19120,CRISPR-associated protein Csc1,,,,,,,,
24609,GC_00004377,Singleton,SMAG00006,1155,1,1,1,0,1,1,1,V,Defense mechanisms,K19121,CRISPR-associated protein Csc2,COG5948,CRISPR-Cas system,COG5948,"CRISPR-Cas system type I-D effector complex subunit Csc2, RAMP superfamily Cas7 group (Csc2gr7)",,,,
24856,GC_00004624,Singleton,SMAG00006,170,1,1,1,0,1,1,1,,,K19135,CRISPR-associated protein Csx14,,,,,,,,
24944,GC_00004712,Singleton,SMAG00006,924,1,1,1,0,1,1,1,V,Defense mechanisms,K19132,CRISPR-associated protein Csb2,COG5946,CRISPR-Cas system,COG5946,"CRISPR-Cas system type I-G effector complex subunit Csb5, RAMP superfamily Cas5 group (Csb5gr5)",,,,
25006,GC_00004774,Singleton,SMAG00006,925,1,1,1,0,1,1,1,V,Defense mechanisms,K19131,CRISPR-associated protein Csb1,COG5945,CRISPR-Cas system,COG5945,"CRISPR-Cas system type I-G effector complex subunit Csb1, RAMP superfamily Cas7 group (Csb1gr7)",,,,
25116,GC_00004884,Singleton,SMAG00006,172,1,1,1,0,1,1,1,V,Defense mechanisms,K19139,CRISPR-associated protein Csm4,COG1567,CRISPR-Cas system,COG1567,"CRISPR-Cas system type III CSM-effector complex subunit Csm4, RAMP superfamily Cas5 group (Csm4) (PDB:4QTS)",,,,
