bins,total_length,num_contigs,N50,GC_content,percent_completion,percent_redundancy
SC_Bin_00021,772419,194,5325,29.828,77.465,5.634
SC_Bin_00022,5741728,585,17361,64.459,73.239,4.225
SC_Bin_00023,1007628,658,1520,44.396,66.197,2.817
SC_Bin_00024,1497468,715,2359,44.593,67.105,3.947
SC_Bin_00025,758735,192,4835,44.511,61.842,2.632
SC_Bin_00026,227091,8,49833,30.674,59.155,0.0
SC_Bin_00027,1359023,896,1499,71.614,54.93,5.634
SC_Bin_00028,3093309,1570,2058,32.213,84.507,36.62
SC_Bin_00029,2162482,1126,1955,41.188,54.93,18.31
SC_Bin_00030,1368174,98,23243,64.743,0.0,0.0
SC_Bin_00031,691183,52,19420,29.9,0.0,0.0
SC_Bin_00032,256610,134,2024,44.71,0.0,0.0
SC_Bin_00033,189818,105,1866,44.98,0.0,0.0
SC_MAG_00001,2856672,56,78844,70.022,100.0,0.0
SC_MAG_00002,1960426,142,285406,49.647,100.0,0.0
SC_MAG_00003,4334567,460,13808,50.464,100.0,0.0
SC_MAG_00004,3472215,479,13420,52.088,98.592,0.0
SC_MAG_00005,2833963,118,119523,60.078,98.592,1.408
SC_MAG_00006,2221446,207,23015,29.108,97.368,1.316
SC_MAG_00007,2661438,164,30326,67.13,97.183,1.408
SC_MAG_00008,1873789,189,17962,36.09,96.053,1.316
SC_MAG_00009,3340487,1096,3835,64.42,94.366,1.408
SC_MAG_00010,1988487,45,60327,55.921,92.958,0.0
SC_MAG_00011,2807349,376,15541,43.905,96.053,3.947
SC_MAG_00012,3249955,678,7982,62.011,94.366,2.817
SC_MAG_00013,7110853,724,13606,50.477,95.775,4.225
SC_MAG_00014,6002955,530,23646,54.613,97.183,7.042
SC_MAG_00015,1859296,321,6622,73.616,94.366,4.225
SC_MAG_00016,4694972,243,32312,65.476,94.366,5.634
SC_MAG_00017,2299122,262,11512,56.204,90.141,2.817
SC_MAG_00018,2206446,139,48010,39.313,89.474,5.263
SC_MAG_00019,4668437,304,37013,62.77,83.099,4.225
SC_MAG_00020,998605,198,7528,25.939,83.099,5.634
