locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNPMNEEE_00001	CDS	381				hypothetical protein
KNPMNEEE_00002	CDS	255				hypothetical protein
KNPMNEEE_00003	CDS	141				hypothetical protein
KNPMNEEE_00004	CDS	129				hypothetical protein
KNPMNEEE_00005	CDS	99				hypothetical protein
KNPMNEEE_00006	CDS	405				hypothetical protein
KNPMNEEE_00007	CDS	516				hypothetical protein
KNPMNEEE_00008	CDS	279				hypothetical protein
KNPMNEEE_00009	CDS	306				hypothetical protein
KNPMNEEE_00010	CDS	549				IS481 family transposase ISFac5
KNPMNEEE_00011	CDS	735				hypothetical protein
KNPMNEEE_00012	CDS	720				hypothetical protein
KNPMNEEE_00013	CDS	2703				hypothetical protein
KNPMNEEE_00014	CDS	948				hypothetical protein
KNPMNEEE_00015	CDS	660				hypothetical protein
KNPMNEEE_00016	CDS	1824				hypothetical protein
KNPMNEEE_00017	CDS	441				hypothetical protein
KNPMNEEE_00018	CDS	969	cas1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
KNPMNEEE_00019	CDS	261	cas2	3.1.-.-	COG1343	CRISPR-associated endoribonuclease Cas2
	repeat_region	8108				
KNPMNEEE_00020	CDS	756				hypothetical protein
KNPMNEEE_00021	CDS	492				hypothetical protein
KNPMNEEE_00022	CDS	297				hypothetical protein
KNPMNEEE_00023	CDS	369				hypothetical protein
KNPMNEEE_00024	CDS	222				hypothetical protein
KNPMNEEE_00025	CDS	222				hypothetical protein
KNPMNEEE_00026	CDS	273				hypothetical protein
KNPMNEEE_00027	CDS	366				hypothetical protein
KNPMNEEE_00028	CDS	510				hypothetical protein
KNPMNEEE_00029	CDS	807				IS481 family transposase ISFac5
KNPMNEEE_00030	CDS	414				hypothetical protein
KNPMNEEE_00031	CDS	231				hypothetical protein
KNPMNEEE_00032	CDS	309				hypothetical protein
KNPMNEEE_00033	CDS	420				hypothetical protein
KNPMNEEE_00034	CDS	936				hypothetical protein
KNPMNEEE_00035	CDS	348				hypothetical protein
KNPMNEEE_00036	CDS	174				hypothetical protein
KNPMNEEE_00037	CDS	330				hypothetical protein
KNPMNEEE_00038	CDS	429				IS256 family transposase ISMco4
KNPMNEEE_00039	CDS	1083	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KNPMNEEE_00040	CDS	168				hypothetical protein
KNPMNEEE_00041	CDS	1056	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
KNPMNEEE_00042	CDS	828	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
KNPMNEEE_00043	CDS	987	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
KNPMNEEE_00044	CDS	540	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
KNPMNEEE_00045	CDS	741	ppm1_1	2.4.1.-		Polyprenol monophosphomannose synthase
KNPMNEEE_00046	CDS	93				hypothetical protein
KNPMNEEE_00047	CDS	897				hypothetical protein
KNPMNEEE_00048	CDS	129				hypothetical protein
KNPMNEEE_00049	CDS	891	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KNPMNEEE_00050	CDS	939				hypothetical protein
KNPMNEEE_00051	CDS	183				hypothetical protein
KNPMNEEE_00052	CDS	648				hypothetical protein
KNPMNEEE_00053	CDS	126				hypothetical protein
KNPMNEEE_00054	CDS	405				hypothetical protein
KNPMNEEE_00055	CDS	873				IS481 family transposase ISFac5
KNPMNEEE_00056	CDS	264				hypothetical protein
KNPMNEEE_00057	CDS	963	insK_1		COG2801	Putative transposase InsK for insertion sequence element IS150
KNPMNEEE_00058	CDS	711				hypothetical protein
KNPMNEEE_00059	CDS	195				hypothetical protein
KNPMNEEE_00060	CDS	1242	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KNPMNEEE_00061	CDS	1071				hypothetical protein
KNPMNEEE_00062	CDS	2523				hypothetical protein
KNPMNEEE_00063	CDS	264				hypothetical protein
