contig_id	contig_length	genomad_taxonomy	vcat_taxonomy	vcontact3_taxonomy	checkv_quality	iphop_host	bacphlip_virulent_score	abundance_Sample_ERR10036468	abundance_Sample_ERR10036469	abundance_Sample_ERR10036470
c_000000315073	45786	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_100_of_Caudoviricetes;f_novel_family_0_of_novel_order_100_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_100_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_100_of_Caudoviricetes"	Low-quality	NA	0.6875	4,21E+08	4,03E+09	1,38E+07
c_000000327502	2224	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_101_of_Caudoviricetes;f_novel_family_0_of_novel_order_101_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_101_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_101_of_Caudoviricetes"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8301762114537447	0.00198375803606821	0.024799795542365	0
c_000000455549	14916	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_103_of_Caudoviricetes;f_novel_family_0_of_novel_order_103_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_103_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_103_of_Caudoviricetes"	Not-determined	NA	0.025	8,26E+08	2,46E+08	4,24E+08
c_000000199784	18315	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_13_of_Caudoviricetes;f_novel_family_18_of_novel_order_13_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_18_of_novel_order_13_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_18_of_novel_order_13_of_Caudoviricetes"	Low-quality	NA	0.975	0.000257834795792355	6,00E+08	1,21E+09
c_000000030771	20392	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_16_of_Caudoviricetes;f_novel_family_4_of_novel_order_16_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_4_of_novel_order_16_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_4_of_novel_order_16_of_Caudoviricetes"	Low-quality	NA	0.025	0.000284723806237339	6,57E+09	3,07E+08
c_000000026808	5829	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lambdavirus;s_Lambdavirus lambda"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_28_of_Caudoviricetes;f_novel_family_0_of_novel_order_28_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_28_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_28_of_Caudoviricetes"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	0.025	0.0120195420877405	2,40E+09	4,34E+09
c_000000188423	5614	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lambdavirus;s_Lambdavirus lambda"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_28_of_Caudoviricetes;f_novel_family_0_of_novel_order_28_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_28_of_Caudoviricetes;g_novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_28_of_Caudoviricetes"	Low-quality	NA	0.8118782016546146	0.00642219724104424	1,34E+09	7,89E+09
c_000000269984	12874	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_38_of_Caudoviricetes;f_novel_family_6_of_novel_order_38_of_Caudoviricetes;sf_novel_subfamily_1_of_novel_family_6_of_novel_order_38_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_1_of_novel_family_6_of_novel_order_38_of_Caudoviricetes"	Low-quality	NA	0.9	9,52E+09	0	0
c_000000292298	1558	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lambdavirus;s_Lambdavirus DE3"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_41_of_Caudoviricetes;f_novel_family_1_of_novel_order_41_of_Caudoviricetes;sf_Sepvirinae;g_novel_genus_1_of_Sepvirinae"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	0.8118782016546146	0.00363488705131262	1,02E+09	0.000284332825261148
c_000000178798	3146	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lambdavirus;s_Lambdavirus lvO276"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_41_of_Caudoviricetes;f_novel_family_2_of_novel_order_41_of_Caudoviricetes;sf_Hendrixvirinae;g_novel_genus_0_of_Hendrixvirinae"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	0.8550238645244239	0.011127103245718	2,71E+09	4,02E+08
