replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
UserReplicon	c_000000304922_10	pAgo__pAgo_LongA	91	defense-finder-models/DefenseFinder_5/pAgo/pAgo	UserReplicon_pAgo_1	1	1	1.000	1.000	1	pAgo__pAgo_LongA	mandatory	689	5.8e-92	306.300	0.992	0.991	6	688		
UserReplicon	c_000000079873_21	pAgo__COG1431_pAgo	258	defense-finder-models/DefenseFinder_5/pAgo/pAgo	UserReplicon_pAgo_2	1	1	1.000	1.000	1	pAgo__pAgo_LongA	mandatory	693	3.2e-95	317.400	0.832	0.828	119	692		
UserReplicon	c_000000088125_8	RM__Type_I_MTases	1506	defense-finder-models/RM/RM/RM_Type_I	UserReplicon_RM_Type_I_1	1	1	1.000	2.500	1	RM__Type_I_MTases	mandatory	577	2.7e-131	436.100	0.992	0.851	84	574		
UserReplicon	c_000000088125_9	RM__Type_I_S	1507	defense-finder-models/RM/RM/RM_Type_I	UserReplicon_RM_Type_I_1	1	1	1.000	2.500	1	RM__Type_I_S	accessory	429	9.5e-101	334.700	0.584	0.974	8	425		
UserReplicon	c_000000088125_10	RM__Type_I_REases	1508	defense-finder-models/RM/RM/RM_Type_I	UserReplicon_RM_Type_I_1	1	1	1.000	2.500	1	RM__Type_I_REases	mandatory	1004	7.6e-143	475.100	0.924	0.917	2	922		
UserReplicon	c_000000170665_1	Cas__csb2gr5_I-G_1	222	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	UserReplicon_CAS_Class1-Subtype-I-G_3	1	1	0.571	4.000	1	Cas__cas5u_I-G_1	mandatory	462	3.7e-23	79.400	0.984	0.991	1	458		UserReplicon_CAS_Class1-Type-I_5,UserReplicon_CAS_Cluster_9
UserReplicon	c_000000170665_2	Cas__csb1gr7_I-G_1	223	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	UserReplicon_CAS_Class1-Subtype-I-G_3	1	1	0.571	4.000	1	Cas__cas7_I-G_4	mandatory	345	1.4e-43	145.700	0.994	0.501	11	183		UserReplicon_CAS_Class1-Type-I_5,UserReplicon_CAS_Cluster_9
UserReplicon	c_000000170665_3	Cas__cas8u1_I-G_1	224	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	UserReplicon_CAS_Class1-Subtype-I-G_3	1	1	0.571	4.000	1	Cas__cas8u1_I-G_1	mandatory	689	3.4e-89	297.300	0.742	0.723	120	617		UserReplicon_CAS_Class1-Type-I_5,UserReplicon_CAS_Cluster_9
UserReplicon	c_000000170665_4	Cas__cas3_I_5	225	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	UserReplicon_CAS_Class1-Subtype-I-G_3	1	1	0.571	4.000	1	Cas__cas3_I_2	accessory	783	1.6e-54	182.600	0.513	0.473	8	377		UserReplicon_CAS_Class1-Type-I_5,UserReplicon_CAS_Cluster_9
UserReplicon	c_000000049168_1	Cas__cas2_I_II_III_IV_V_VI_3	879	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas2_I_II_III_IV_V_VI_3	accessory	88	2.9e-24	82.300	0.962	0.852	3	77		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
