bins	12S_rRNA_mit
SC_Bin_00021	0
SC_Bin_00022	0
SC_Bin_00023	0
SC_Bin_00024	0
SC_Bin_00025	0
SC_Bin_00026	0
SC_Bin_00027	0
SC_Bin_00028	0
SC_Bin_00029	0
SC_Bin_00030	0
SC_Bin_00031	0
SC_Bin_00032	0
SC_Bin_00033	0
SC_MAG_00001	0
SC_MAG_00002	0
SC_MAG_00003	0
SC_MAG_00004	0
SC_MAG_00005	0
SC_MAG_00006	0
SC_MAG_00007	0
SC_MAG_00008	0
SC_MAG_00009	0
SC_MAG_00010	0
SC_MAG_00011	0
SC_MAG_00012	0
SC_MAG_00013	0
SC_MAG_00014	0
SC_MAG_00015	0
SC_MAG_00016	0
SC_MAG_00017	0
SC_MAG_00018	0
SC_MAG_00019	0
SC_MAG_00020	0
