hit_id	replicon	position_hit	hit_sequence_length	gene_name
c_000000006954_25	UserReplicon	931	195	Retron_I_A__ATPase_TypeIA
c_000000006954_25	UserReplicon	931	195	PARIS_I__AAA_15
c_000000006954_25	UserReplicon	931	195	PARIS_II__AAA_21
c_000000006954_25	UserReplicon	931	195	Lamassu-Fam__LmuB_SMC_hypothetical
c_000000006954_25	UserReplicon	931	195	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
c_000000006954_25	UserReplicon	931	195	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
c_000000006954_25	UserReplicon	931	195	Lamassu-Fam__LmuB_SMC_Mrr
c_000000006954_36	UserReplicon	942	640	Retron_I_A__ATPase_TypeIA
c_000000006954_36	UserReplicon	942	640	Dnd__DndD
c_000000006954_36	UserReplicon	942	640	PARIS_I__AAA_15
c_000000006954_36	UserReplicon	942	640	Wadjet__JetC_III
c_000000006954_36	UserReplicon	942	640	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
c_000000006954_36	UserReplicon	942	640	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
c_000000006954_36	UserReplicon	942	640	Lamassu-Fam__LmuB_SMC_Lipase
c_000000006954_36	UserReplicon	942	640	Lamassu-Fam__LmuB_SMC_Mrr
c_000000006954_38	UserReplicon	944	452	RM__Type_I_REases
c_000000006954_38	UserReplicon	944	452	PsyrTA__PsyrT
c_000000006954_8	UserReplicon	914	136	Retron_IX__HEPN
c_000000009857_3	UserReplicon	2253	1117	BREX__pglX2
c_000000009857_3	UserReplicon	2253	1117	RM_Type_II__Type_II_MTases
c_000000015663_2	UserReplicon	1386	97	Cas__cas2_I_II_III_IV_V_VI_3
c_000000015663_2	UserReplicon	1386	97	Cas__cas2_I_II_III_IV_V_VI_5
c_000000015663_2	UserReplicon	1386	97	Cas__cas2_I_II_III_IV_V_VI_13
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_2
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_6
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_7
c_000000015663_3	UserReplicon	1387	545	Cas__cas4_I_II_III_IV_V_VI_6
c_000000015663_3	UserReplicon	1387	545	Cas__cas4_I_II_III_IV_V_VI_4
c_000000015663_3	UserReplicon	1387	545	Cas__cas4_I_II_III_IV_V_VI_1
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_1
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_8
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_10
c_000000015663_3	UserReplicon	1387	545	Cas__cas4_V_1
c_000000015663_3	UserReplicon	1387	545	Cas__cas1_I_II_III_IV_V_VI_5
c_000000020296_9	UserReplicon	714	238	Dpd__QueC
c_000000027551_1	UserReplicon	536	423	Shango__SngC
c_000000028998_8	UserReplicon	2012	311	RosmerTA__RmrA_2600853143
c_000000028998_8	UserReplicon	2012	311	RosmerTA__RmrA_2677172838
c_000000028998_8	UserReplicon	2012	311	RosmerTA__RmrA_2623274509
c_000000032064_4	UserReplicon	1702	130	Retron_IX__HEPN
c_000000032159_1	UserReplicon	235	283	RM__Type_I_MTases
c_000000032159_1	UserReplicon	235	283	PrrC__EcoprrI
c_000000032159_1	UserReplicon	235	283	RM_Type_II__Type_II_MTases
c_000000033398_36	UserReplicon	36	466	ShosTA__ShosT
c_000000033398_36	UserReplicon	36	466	PsyrTA__PsyrT
c_000000033398_9	UserReplicon	9	205	RM_Type_II__Type_II_MTases
c_000000035066_4	UserReplicon	97	250	AbiEii__AbiEii
c_000000035139_2	UserReplicon	2175	135	Retron_IX__HEPN
c_000000036170_4	UserReplicon	1284	136	Retron_IX__HEPN
c_000000041546_10	UserReplicon	763	691	Shango__SngC
c_000000041546_10	UserReplicon	763	691	Hachiman__HamB
c_000000041546_10	UserReplicon	763	691	PsyrTA__PsyrT
c_000000041546_9	UserReplicon	762	309	RM_Type_II__Type_II_MTases
c_000000049168_1	UserReplicon	879	88	Cas__cas2_I_II_III_IV_V_VI_3
c_000000049168_1	UserReplicon	879	88	Cas__cas2_I_II_III_IV_V_VI_5
c_000000049168_1	UserReplicon	879	88	Cas__cas2_I_II_III_IV_V_VI_13
c_000000049168_2	UserReplicon	880	331	Cas__cas1_I_II_III_IV_V_VI_2
c_000000049168_2	UserReplicon	880	331	Cas__cas1_I_II_III_IV_V_VI_7
c_000000049168_2	UserReplicon	880	331	Cas__cas1_I_II_III_IV_V_VI_1
c_000000049168_2	UserReplicon	880	331	Cas__cas1_I_II_III_IV_V_VI_8
c_000000049168_2	UserReplicon	880	331	Cas__cas1_I_II_III_IV_V_VI_10
c_000000049168_3	UserReplicon	881	164	Cas__cas4_I_II_III_IV_V_VI_6
c_000000049168_3	UserReplicon	881	164	Cas__cas4_I_II_III_IV_V_VI_4
c_000000049168_3	UserReplicon	881	164	Cas__cas4_I_II_III_IV_V_VI_1
c_000000049168_3	UserReplicon	881	164	Cas__cas4_V_1
c_000000049168_4	UserReplicon	882	816	Cas__cas3HD_I_1
c_000000049168_4	UserReplicon	882	816	Cas__cas3_I_2
c_000000049168_4	UserReplicon	882	816	Cas__cas3_I_5
c_000000049168_5	UserReplicon	883	261	Cas__cas5_I-B_17
c_000000049168_5	UserReplicon	883	261	Cas__cas5_I-B_8
c_000000049168_5	UserReplicon	883	261	Cas__cas5_I-B_22
c_000000049168_6	UserReplicon	884	315	Cas__cas7b_I-B_I-C_2
c_000000049168_6	UserReplicon	884	315	Cas__cas7_I-B_8
c_000000049168_7	UserReplicon	885	631	Cas__cas8b1_I-B_4
c_000000049168_7	UserReplicon	885	631	Cas__cas8b1_I-B_14
c_000000049168_7	UserReplicon	885	631	Cas__cas8b1_I-B_3
c_000000049168_7	UserReplicon	885	631	Cas__cas8b1_I-B_2
c_000000049168_8	UserReplicon	886	249	Cas__cas6_I_II_III_IV_V_VI_10
c_000000049168_8	UserReplicon	886	249	Cas__cas6_I_II_III_IV_V_VI_7
c_000000049168_8	UserReplicon	886	249	Cas__cas6_I_II_III_IV_V_VI_20
c_000000059013_5	UserReplicon	1405	237	PARIS_I__AAA_15
c_000000059013_6	UserReplicon	1406	211	PARIS_I__AAA_15
c_000000059013_6	UserReplicon	1406	211	PARIS_II__AAA_21
c_000000064068_14	UserReplicon	1646	216	ShosTA__ShosT
c_000000065919_11	UserReplicon	645	181	RM_Type_II__Type_II_MTases
c_000000065919_5	UserReplicon	639	518	Dnd_ABCDEFGH__DptH
c_000000065919_5	UserReplicon	639	518	PD-T7-2__PD-T7-2_B
c_000000065919_5	UserReplicon	639	518	Gao_Her_DUF__HerA_DUF
c_000000065919_5	UserReplicon	639	518	Gao_Her_SIR__HerA_SIR2
c_000000065919_7	UserReplicon	641	891	Retron_I_A__ATPase_TypeIA
c_000000065919_7	UserReplicon	641	891	PARIS_II__AAA_21
c_000000065919_7	UserReplicon	641	891	Wadjet__JetC_III
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_hypothetical
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_Amidase
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_FMO
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
c_000000065919_7	UserReplicon	641	891	Lamassu-Fam__LmuB_SMC_Mrr
c_000000068482_3	UserReplicon	1564	239	Mokosh_TypeI__MkoB
c_000000069241_1	UserReplicon	261	170	Lamassu-Fam__LmuC_acc_Lipase
c_000000069241_19	UserReplicon	279	215	Dpd__QueE
c_000000069241_20	UserReplicon	280	192	Dpd__FolE
c_000000069241_21	UserReplicon	281	157	Dpd__QueD
c_000000079873_17	UserReplicon	254	184	PARIS_II__AAA_21
c_000000079873_21	UserReplicon	258	693	pAgo__pAgo_LongA
c_000000079873_21	UserReplicon	258	693	pAgo__pAgo_LongB
c_000000079873_21	UserReplicon	258	693	pAgo__COG1431_pAgo
c_000000082962_3	UserReplicon	1081	337	Cas__cas4_V_1
c_000000085147_1	UserReplicon	820	1704	BREX__brxHI
c_000000085147_1	UserReplicon	820	1704	Shango__SngC
c_000000085147_1	UserReplicon	820	1704	Hachiman__HamB
c_000000085147_1	UserReplicon	820	1704	PsyrTA__PsyrT
c_000000085147_11	UserReplicon	830	266	SanaTA__SanaT
c_000000085147_11	UserReplicon	830	266	AbiEii__AbiEii
c_000000085147_22	UserReplicon	841	225	RosmerTA__RmrA_2662548665
c_000000085147_22	UserReplicon	841	225	RosmerTA__RmrA_2677172838
c_000000085147_22	UserReplicon	841	225	RosmerTA__RmrA_2664250653
c_000000087143_10	UserReplicon	373	233	PARIS_II__AAA_21
c_000000087143_47	UserReplicon	410	280	PARIS_II__AAA_21
c_000000087143_53	UserReplicon	416	284	PD-Lambda-5__PD-Lambda-5_B
c_000000087143_53	UserReplicon	416	284	RM_Type_II__Type_II_MTases
c_000000088125_10	UserReplicon	1508	1004	RM__Type_I_REases
c_000000088125_8	UserReplicon	1506	577	RM__Type_I_MTases
c_000000088125_8	UserReplicon	1506	577	PrrC__EcoprrI
c_000000088125_8	UserReplicon	1506	577	RM_Type_II__Type_II_MTases
c_000000088125_9	UserReplicon	1507	429	RM__Type_I_S
c_000000093600_2	UserReplicon	562	364	Dodola__DolB
c_000000093600_2	UserReplicon	562	364	Gao_Iet__IetA
c_000000093600_34	UserReplicon	594	942	Retron_I_A__ATPase_TypeIA
c_000000093600_34	UserReplicon	594	942	Retron_I_B__ATPase_TOPRIM_COG3593
c_000000093600_34	UserReplicon	594	942	PARIS_I__AAA_15
c_000000095916_8	UserReplicon	1455	319	Dodola__DolB
c_000000096328_2	UserReplicon	955	213	Mokosh_TypeI__MkoB2
c_000000101185_13	UserReplicon	2152	136	Retron_IX__HEPN
c_000000101185_17	UserReplicon	2156	459	BREX__brxHII
c_000000101185_17	UserReplicon	2156	459	BREX__brxHI
c_000000101185_17	UserReplicon	2156	459	Shango__SngC
c_000000101185_17	UserReplicon	2156	459	Hachiman__HamB
c_000000101185_17	UserReplicon	2156	459	PsyrTA__PsyrT
c_000000101185_17	UserReplicon	2156	459	Cas__cas3_I_2
c_000000101225_2	UserReplicon	1002	345	Cas__csc2gr7_I-D_1
c_000000101225_3	UserReplicon	1003	216	Cas__csc1gr5_I-D_2
c_000000101225_4	UserReplicon	1004	650	Shango__SngC
c_000000101225_4	UserReplicon	1004	650	Cas__cas3_I-D_4
c_000000101225_5	UserReplicon	1005	171	Cas__cas4_I_II_III_IV_V_VI_6
c_000000101225_5	UserReplicon	1005	171	Cas__cas4_I_II_III_IV_V_VI_4
c_000000101225_5	UserReplicon	1005	171	Cas__cas4_I_II_III_IV_V_VI_1
c_000000101225_6	UserReplicon	1006	319	Cas__cas1_I_II_III_IV_V_VI_2
c_000000101225_6	UserReplicon	1006	319	Cas__cas1_I_II_III_IV_V_VI_7
c_000000101225_6	UserReplicon	1006	319	Cas__cas1_I_II_III_IV_V_VI_1
c_000000101225_6	UserReplicon	1006	319	Cas__cas1_I_II_III_IV_V_VI_8
c_000000101225_6	UserReplicon	1006	319	Cas__cas1_I_II_III_IV_V_VI_10
c_000000101225_7	UserReplicon	1007	87	Cas__cas2_I_II_III_IV_V_VI_3
c_000000101225_7	UserReplicon	1007	87	Cas__cas2_I_II_III_IV_V_VI_5
c_000000101225_7	UserReplicon	1007	87	Cas__cas2_I_II_III_IV_V_VI_13
c_000000103798_22	UserReplicon	1445	214	AbiEii__AbiEii
c_000000105218_26	UserReplicon	1626	254	PD-Lambda-5__PD-Lambda-5_B
c_000000105218_26	UserReplicon	1626	254	RM_Type_II__Type_II_MTases
c_000000108231_10	UserReplicon	2272	91	Cas__cas2_I_II_III_IV_V_VI_10
c_000000110633_4	UserReplicon	894	649	Azaca__ZacB
c_000000111261_16	UserReplicon	631	745	Gao_Iet__IetA
c_000000143887_19	UserReplicon	974	164	PsyrTA__PsyrA
c_000000143887_35	UserReplicon	990	245	Wadjet__JetC_II
c_000000143887_35	UserReplicon	990	245	Wadjet__JetC_III
c_000000143887_35	UserReplicon	990	245	Wadjet__JetC_I
c_000000143887_35	UserReplicon	990	245	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
c_000000143887_35	UserReplicon	990	245	Lamassu-Fam__LmuB_SMC_Amidase
c_000000143887_35	UserReplicon	990	245	Lamassu-Fam__LmuB_SMC_Lipase
c_000000143887_35	UserReplicon	990	245	Lamassu-Fam__LmuB_SMC_Mrr
c_000000148737_37	UserReplicon	467	153	RosmerTA__RmrA_2634932349
c_000000148737_37	UserReplicon	467	153	RosmerTA__RmrA_2662548665
c_000000148737_37	UserReplicon	467	153	RosmerTA__RmrA_2677172838
c_000000148737_37	UserReplicon	467	153	RosmerTA__RmrA_2664250653
c_000000148737_53	UserReplicon	483	121	CBASS__Jab
c_000000148737_92	UserReplicon	522	95	AbiEii__AbiEii
c_000000151840_13	UserReplicon	1099	485	Lamassu-Fam__LmuC_acc_Mrr
c_000000170665_1	UserReplicon	222	462	Cas__csb2gr5_I-G_1
c_000000170665_2	UserReplicon	223	345	Cas__csb1gr7_I-G_1
c_000000170665_3	UserReplicon	224	689	Cas__cas8u1_I-G_1
c_000000170665_4	UserReplicon	225	783	Cas__cas3HD_I_1
c_000000170665_4	UserReplicon	225	783	Cas__cas3_I_2
c_000000170665_4	UserReplicon	225	783	Cas__cas3_I_5
c_000000170665_4	UserReplicon	225	783	Cas__cas3_I-G_3
c_000000178001_23	UserReplicon	1338	258	CBASS__AG_E1_ThiF
c_000000178001_23	UserReplicon	1338	258	ISG15-like__BilD
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2634932349
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2600853143
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2662548665
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2677172838
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2676476075
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2617826694
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2623274509
c_000000178001_31	UserReplicon	1346	193	RosmerTA__RmrA_2664250653
c_000000178001_4	UserReplicon	1319	194	Retron_III__PRTase
c_000000178001_4	UserReplicon	1319	194	ShosTA__ShosT
c_000000178001_9	UserReplicon	1324	312	ShosTA__ShosT
c_000000179309_26	UserReplicon	1688	323	RM_Type_II__Type_II_MTases
