"","bins","Sample_ERR10036468","Sample_ERR10036469","Sample_ERR10036470","log10_Sample_ERR10036468","log10_Sample_ERR10036469","log10_Sample_ERR10036470","total_length","num_contigs","N50","GC_content","percent_completion","percent_redundancy","t_domain","t_phylum","t_class","t_order","t_family","t_genus","t_species","MAG_quality","phylum","genus","highlight"
"1","SC_Bin_00021",2.63088815785215,6.20900185003217,0,0.420102386109239,0.793021789248245,-Inf,772419,194,5325,29.8276882033548,77.4647887323944,5.63380281690141,"","","","","","","","Low",NA,"",""
"2","SC_Bin_00022",47.3572650951073,45.9979502686299,0.0821426929314659,1.67538661372332,1.66273847935859,-1.08543106352151,5741728,585,17361,64.4590866192258,73.2394366197183,4.22535211267606,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","","Low","Actinobacteriota","",""
"3","SC_Bin_00023",10.1513286649438,0.0275220617132513,0.00178637354261692,1.00652288895752,-1.56031903565636,-2.74802772207979,1007628,658,1520,44.3957073618168,66.1971830985916,2.8169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","","Low","Proteobacteria","",""
"4","SC_Bin_00024",4.0523730724129,3.99464629628146,0.000200338170832365,0.607709420852086,0.601478330990757,-3.69823629582622,1497468,715,2359,44.5928851563409,67.1052631578947,3.94736842105263,"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","B-DKE","B-DKE sp002204705","Low","Thermoplasmatota","",""
"5","SC_Bin_00025",4.22363539312145,5.6686049806586,0,0.625686420512997,0.753476194034979,-Inf,758735,192,4835,44.5107066303815,61.8421052631579,2.63157894736842,"Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Micrarchaeaceae","Micrarchaeum","Micrarchaeum acidiphilum","Low","Micrarchaeota","",""
"6","SC_Bin_00026",12.2665715506119,24.812379178391,0,1.08872319641001,1.39466840935512,-Inf,227091,8,49833,30.6744802775184,59.1549295774648,0,"","","","","","","","Low",NA,"",""
"7","SC_Bin_00027",10.5161369601545,0.0206582228556838,0,1.02185623363934,-1.68490704182737,-Inf,1359023,896,1499,71.6140179533311,54.9295774647887,5.63380281690141,"Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Dermatophilaceae","Janibacter","Janibacter hoylei","Low","Actinobacteriota","",""
"8","SC_Bin_00028",10.9112936987543,0.0619307673433207,0.0119089298870562,1.03787624581485,-1.2080935389004,-1.92412726160928,3093309,1570,2058,32.2133966278717,84.5070422535211,36.6197183098592,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","Low","Firmicutes","",""
"9","SC_Bin_00029",17.5031949398885,72.4716608045755,0.0691141012965657,1.24311732972163,1.86016821398832,-1.16043333481836,2162482,1126,1955,41.187864581985,54.9295774647887,18.3098591549296,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","","Low","Firmicutes","",""
"10","SC_Bin_00030",142.914342035443,169.034035875554,16.1561022209163,2.15507581419549,2.22797416085429,1.20833659232164,1368174,98,23243,64.7428534987318,0,0,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","","Low","Actinobacteriota","Mycobacterium",""
"11","SC_Bin_00031",11.0631279993866,23.9185584714902,0,1.04387793716822,1.37873500195758,-Inf,691183,52,19420,29.8998683351276,0,0,"","","","","","","","Low",NA,"",""
