hit_id	replicon	position_hit	hit_sequence_length	gene_name
KNPMNEEE_00006	UserReplicon	6	134	Retron_IX__HEPN
KNPMNEEE_00012	UserReplicon	12	239	Cas__cas6_I_II_III_IV_V_VI_10
KNPMNEEE_00012	UserReplicon	12	239	Cas__cas6_I_II_III_IV_V_VI_7
KNPMNEEE_00012	UserReplicon	12	239	Cas__cas6_I_II_III_IV_V_VI_20
KNPMNEEE_00013	UserReplicon	13	900	Cas__cas10d_I-D_5
KNPMNEEE_00014	UserReplicon	14	315	Cas__csc2gr7_I-D_1
KNPMNEEE_00015	UserReplicon	15	219	Cas__csc1gr5_I-D_2
KNPMNEEE_00016	UserReplicon	16	607	Cas__cas3_I_2
KNPMNEEE_00016	UserReplicon	16	607	Cas__cas3_I-D_4
KNPMNEEE_00017	UserReplicon	17	146	Cas__cas4_I_II_III_IV_V_VI_6
KNPMNEEE_00018	UserReplicon	18	322	Cas__cas1_I_II_III_IV_V_VI_2
KNPMNEEE_00018	UserReplicon	18	322	Cas__cas1_I_II_III_IV_V_VI_7
KNPMNEEE_00018	UserReplicon	18	322	Cas__cas1_I_II_III_IV_V_VI_1
KNPMNEEE_00018	UserReplicon	18	322	Cas__cas1_I_II_III_IV_V_VI_8
KNPMNEEE_00018	UserReplicon	18	322	Cas__cas1_I_II_III_IV_V_VI_10
KNPMNEEE_00019	UserReplicon	19	86	Cas__cas2_I_II_III_IV_V_VI_3
KNPMNEEE_00019	UserReplicon	19	86	Cas__cas2_I_II_III_IV_V_VI_5
KNPMNEEE_00019	UserReplicon	19	86	Cas__cas2_I_II_III_IV_V_VI_13
KNPMNEEE_00100	UserReplicon	100	360	Cas__cas12f2_V-F_1
KNPMNEEE_00190	UserReplicon	189	347	Cas__cas12f2_V-F_1
KNPMNEEE_00198	UserReplicon	197	332	Cas__cas12f2_V-F_1
KNPMNEEE_00204	UserReplicon	203	378	Cas__cas12f1_V-F_3
KNPMNEEE_00288	UserReplicon	286	157	Dpd__QueD
KNPMNEEE_00289	UserReplicon	287	191	Dpd__FolE
KNPMNEEE_00290	UserReplicon	288	214	Dpd__QueE
KNPMNEEE_00308	UserReplicon	306	443	Shango__SngC
KNPMNEEE_00308	UserReplicon	306	443	Hachiman__HamB
KNPMNEEE_00308	UserReplicon	306	443	PsyrTA__PsyrT
KNPMNEEE_00327	UserReplicon	325	361	Cas__cas12f2_V-F_1
KNPMNEEE_00354	UserReplicon	350	135	Retron_IX__HEPN
KNPMNEEE_00366	UserReplicon	362	1698	BREX__brxHI
KNPMNEEE_00366	UserReplicon	362	1698	Shango__SngC
KNPMNEEE_00366	UserReplicon	362	1698	PsyrTA__PsyrT
KNPMNEEE_00385	UserReplicon	380	318	Mokosh_TypeI__MkoB
KNPMNEEE_00385	UserReplicon	380	318	Azaca__ZacB
KNPMNEEE_00385	UserReplicon	380	318	DISARM__drmC
KNPMNEEE_00390	UserReplicon	385	557	PARIS_I__AAA_15
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2600853143
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2662548665
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2677172838
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2676476075
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2623274509
KNPMNEEE_00405	UserReplicon	399	95	RosmerTA__RmrA_2664250653
KNPMNEEE_00473	UserReplicon	467	304	PARIS_II__AAA_21
KNPMNEEE_00483	UserReplicon	477	426	Dazbog__DzbA
KNPMNEEE_00488	UserReplicon	482	256	Retron_III__PRTase_WH
KNPMNEEE_00562	UserReplicon	554	890	Gabija__GajB_2
KNPMNEEE_00576	UserReplicon	568	821	Retron_I_B__ATPase_TOPRIM_COG3593
KNPMNEEE_00576	UserReplicon	568	821	PARIS_I__AAA_15
KNPMNEEE_00576	UserReplicon	568	821	PARIS_II__AAA_21
KNPMNEEE_00595	UserReplicon	586	258	Cas__cas12f2_V-F_1
KNPMNEEE_00609	UserReplicon	600	239	CBASS__QueC
KNPMNEEE_00609	UserReplicon	600	239	Dpd__QueC
KNPMNEEE_00629	UserReplicon	619	127	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
KNPMNEEE_00639	UserReplicon	628	283	PD-Lambda-5__PD-Lambda-5_B
KNPMNEEE_00639	UserReplicon	628	283	RM_Type_II__Type_II_MTases
KNPMNEEE_00640	UserReplicon	629	293	RM_Type_II__Type_II_MTases
KNPMNEEE_00644	UserReplicon	633	182	RM_Type_II__Type_II_MTases
KNPMNEEE_00713	UserReplicon	700	621	CAS_Class1-Subtype-IV-A__DinG_IV-A_2
KNPMNEEE_00770	UserReplicon	754	180	RM_Type_II__Type_II_MTases
KNPMNEEE_00771	UserReplicon	755	894	Retron_I_A__ATPase_TypeIA
KNPMNEEE_00771	UserReplicon	755	894	Retron_I_B__ATPase_TOPRIM_COG3593
KNPMNEEE_00771	UserReplicon	755	894	Wadjet__JetC_III
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_Cap4_nuclease
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_hypothetical
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_PDDEXK
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_FMO
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_Lipase
KNPMNEEE_00771	UserReplicon	755	894	Lamassu-Fam__LmuB_SMC_Mrr
KNPMNEEE_00773	UserReplicon	757	517	Dnd_ABCDEFGH__DptH
KNPMNEEE_00773	UserReplicon	757	517	PD-T7-2__PD-T7-2_B
KNPMNEEE_00773	UserReplicon	757	517	Gao_Her_DUF__HerA_DUF
KNPMNEEE_00773	UserReplicon	757	517	Gao_Her_SIR__HerA_SIR2
KNPMNEEE_00834	UserReplicon	814	71	PsyrTA__PsyrA
KNPMNEEE_00869	UserReplicon	849	215	ShosTA__ShosT
KNPMNEEE_00945	UserReplicon	923	591	Dnd_ABCDEFGH__DptH
KNPMNEEE_00954	UserReplicon	932	616	RM_Type_III__Type_III_MTases
KNPMNEEE_00954	UserReplicon	932	616	RM_Type_II__Type_II_MTases
KNPMNEEE_00955	UserReplicon	933	845	RM_Type_III__Type_III_REases
KNPMNEEE_01008	UserReplicon	986	375	Cas__cas12f1_V-F_3
KNPMNEEE_01035	UserReplicon	1013	744	Gao_Iet__IetA
KNPMNEEE_01106	UserReplicon	1080	193	ShosTA__ShosT
KNPMNEEE_01115	UserReplicon	1089	251	ShosTA__ShosT
KNPMNEEE_01128	UserReplicon	1102	255	CBASS__AG_E1_ThiF
KNPMNEEE_01128	UserReplicon	1102	255	ISG15-like__BilD
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2634932349
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2600853143
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2662548665
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2677172838
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2676476075
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2634882613
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2617826694
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2623274509
KNPMNEEE_01133	UserReplicon	1107	192	RosmerTA__RmrA_2664250653
KNPMNEEE_01147	UserReplicon	1121	388	Cas__cas12f2_V-F_1
KNPMNEEE_01164	UserReplicon	1138	239	RM_Type_II__Type_II_MTases
KNPMNEEE_01174	UserReplicon	1147	296	Cas__cas12f1_V-F_3
KNPMNEEE_01194	UserReplicon	1167	257	PARIS_II__AAA_21
KNPMNEEE_01240	UserReplicon	1212	306	RosmerTA__RmrA_2677172838
KNPMNEEE_01240	UserReplicon	1212	306	RosmerTA__RmrA_2623274509
KNPMNEEE_01320	UserReplicon	1290	465	ShosTA__ShosT
KNPMNEEE_01348	UserReplicon	1315	198	RM_Type_II__Type_II_MTases
KNPMNEEE_01392	UserReplicon	1357	365	Cas__cas12f2_V-F_1
KNPMNEEE_01403	UserReplicon	1368	110	CBASS__Jab
KNPMNEEE_01422	UserReplicon	1387	145	RosmerTA__RmrA_2677172838
KNPMNEEE_01422	UserReplicon	1387	145	RosmerTA__RmrA_2664250653
KNPMNEEE_01423	UserReplicon	1388	427	Cas__cas12f2_V-F_1
KNPMNEEE_01463	UserReplicon	1428	899	BREX__brxHI
KNPMNEEE_01463	UserReplicon	1428	899	Shango__SngC
KNPMNEEE_01463	UserReplicon	1428	899	Hachiman__HamB
KNPMNEEE_01463	UserReplicon	1428	899	PsyrTA__PsyrT
KNPMNEEE_01466	UserReplicon	1431	443	RM__Type_I_REases
KNPMNEEE_01466	UserReplicon	1431	443	RM_Type_III__Type_III_REases
KNPMNEEE_01488	UserReplicon	1453	175	PARIS_II__AAA_21
KNPMNEEE_01520	UserReplicon	1485	317	Dodola__DolB
KNPMNEEE_01576	UserReplicon	1537	391	Cas__cas12f2_V-F_1
KNPMNEEE_01577	UserReplicon	1538	215	Retron_I_A__ATPase_TypeIA
KNPMNEEE_01577	UserReplicon	1538	215	PARIS_II__AAA_21
KNPMNEEE_01620	UserReplicon	1580	365	Dodola__DolB
KNPMNEEE_01620	UserReplicon	1580	365	Gao_Iet__IetA
KNPMNEEE_01681	UserReplicon	1640	1156	PARIS_II__AAA_21
KNPMNEEE_01681	UserReplicon	1640	1156	Wadjet__JetC_II
KNPMNEEE_01681	UserReplicon	1640	1156	Wadjet__JetC_III
KNPMNEEE_01681	UserReplicon	1640	1156	Wadjet__JetC_I
KNPMNEEE_01681	UserReplicon	1640	1156	Lamassu-Fam__LmuB_SMC_Cap4_nuclease
KNPMNEEE_01681	UserReplicon	1640	1156	Lamassu-Fam__LmuB_SMC_Hydrolase_protease
KNPMNEEE_01681	UserReplicon	1640	1156	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
KNPMNEEE_01681	UserReplicon	1640	1156	Lamassu-Fam__LmuB_SMC_Mrr
KNPMNEEE_01685	UserReplicon	1644	92	Cas__cas2_I_II_III_IV_V_VI_10
KNPMNEEE_01703	UserReplicon	1662	310	RM_Type_II__Type_II_MTases
KNPMNEEE_01704	UserReplicon	1663	681	Shango__SngC
KNPMNEEE_01704	UserReplicon	1663	681	Hachiman__HamB
KNPMNEEE_01704	UserReplicon	1663	681	PsyrTA__PsyrT
KNPMNEEE_01774	UserReplicon	1733	257	PD-Lambda-5__PD-Lambda-5_B
KNPMNEEE_01774	UserReplicon	1733	257	RM_Type_II__Type_II_MTases
KNPMNEEE_01780	UserReplicon	1739	92	Retron_IX__HEPN
KNPMNEEE_01803	UserReplicon	1762	375	Cas__cas12f1_V-F_3
KNPMNEEE_01809	UserReplicon	1768	397	Cas__cas12f1_V-F_3
KNPMNEEE_01811	UserReplicon	1770	163	PsyrTA__PsyrA
KNPMNEEE_02072	UserReplicon	2026	70	Retron_IX__HEPN
KNPMNEEE_02083	UserReplicon	2037	361	Cas__cas12f2_V-F_1
KNPMNEEE_02098	UserReplicon	2052	1039	RM__Type_I_REases
KNPMNEEE_02098	UserReplicon	2052	1039	RM_Type_III__Type_III_REases
KNPMNEEE_02098	UserReplicon	2052	1039	Azaca__ZacB
KNPMNEEE_02098	UserReplicon	2052	1039	PsyrTA__PsyrT
KNPMNEEE_02101	UserReplicon	2055	375	Cas__cas12f1_V-F_3
KNPMNEEE_02103	UserReplicon	2057	391	Cas__cas12f2_V-F_1
KNPMNEEE_02132	UserReplicon	2086	128	Retron_IX__HEPN
KNPMNEEE_02136	UserReplicon	2090	918	Gabija__GajB_1
KNPMNEEE_02136	UserReplicon	2090	918	Gabija__GajB_3
KNPMNEEE_02136	UserReplicon	2090	918	Gabija__GajB_2
KNPMNEEE_02140	UserReplicon	2094	183	Retron_VII_2__DUF3800
KNPMNEEE_02163	UserReplicon	2117	553	Retron_I_A__ATPase_TypeIA
KNPMNEEE_02163	UserReplicon	2117	553	Septu__PtuA
KNPMNEEE_02163	UserReplicon	2117	553	Retron_I_B__ATPase_TOPRIM_COG3593
KNPMNEEE_02163	UserReplicon	2117	553	Menshen__NsnB
KNPMNEEE_02163	UserReplicon	2117	553	PARIS_I__AAA_15
KNPMNEEE_02163	UserReplicon	2117	553	PARIS_II__AAA_21
KNPMNEEE_02163	UserReplicon	2117	553	Septu__PtuA
KNPMNEEE_02163	UserReplicon	2117	553	Gabija__GajA
KNPMNEEE_02163	UserReplicon	2117	553	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
KNPMNEEE_02173	UserReplicon	2127	164	RM_Type_II__Type_II_MTases
KNPMNEEE_02173	UserReplicon	2127	164	Druantia_II__DruM
KNPMNEEE_02174	UserReplicon	2128	251	RM_Type_II__Type_II_MTases
KNPMNEEE_02174	UserReplicon	2128	251	Druantia_II__DruM
KNPMNEEE_02174	UserReplicon	2128	251	DISARM_2__drmMII
KNPMNEEE_02176	UserReplicon	2130	1223	PsyrTA__PsyrT
KNPMNEEE_02176	UserReplicon	2130	1223	DISARM__drmA
KNPMNEEE_02177	UserReplicon	2131	596	DISARM__drmB
KNPMNEEE_02177	UserReplicon	2131	596	DISARM__drmB
