item	layer	value
GC_00000001	S12936484	1
GC_00000001	S259100318	0
GC_00000001	S259100328	1
GC_00000001	S259100333	1
GC_00000001	S259100335	1
GC_00000001	S259100337	0
GC_00000001	S259100341	1
GC_00000001	S25910037	1
GC_00000001	S25910039	1
GC_00000001	S33314612	1
GC_00000001	S749695	1
GC_00000001	SFerroplasmacircular	1
GC_00000001	SMAG00006	1
GC_00000002	S12936484	1
GC_00000002	S259100318	1
GC_00000002	S259100328	1
GC_00000002	S259100333	1
GC_00000002	S259100335	1
GC_00000002	S259100337	1
GC_00000002	S259100341	1
GC_00000002	S25910037	1
GC_00000002	S25910039	1
GC_00000002	S33314612	1
GC_00000002	S749695	1
GC_00000002	SFerroplasmacircular	1
GC_00000002	SMAG00006	1
GC_00000003	S12936484	1
GC_00000003	S259100318	1
GC_00000003	S259100328	1
GC_00000003	S259100333	1
GC_00000003	S259100335	1
GC_00000003	S259100337	0
GC_00000003	S259100341	1
GC_00000003	S25910037	1
GC_00000003	S25910039	1
GC_00000003	S33314612	1
GC_00000003	S749695	1
GC_00000003	SFerroplasmacircular	1
GC_00000003	SMAG00006	1
GC_00000004	S12936484	1
GC_00000004	S259100318	1
GC_00000004	S259100328	1
GC_00000004	S259100333	1
GC_00000004	S259100335	1
GC_00000004	S259100337	1
GC_00000004	S259100341	1
GC_00000004	S25910037	1
GC_00000004	S25910039	1
GC_00000004	S33314612	1
GC_00000004	S749695	1
GC_00000004	SFerroplasmacircular	1
GC_00000004	SMAG00006	1
GC_00000005	S12936484	1
GC_00000005	S259100318	1
GC_00000005	S259100328	0
GC_00000005	S259100333	1
GC_00000005	S259100335	1
GC_00000005	S259100337	1
GC_00000005	S259100341	1
GC_00000005	S25910037	1
GC_00000005	S25910039	0
GC_00000005	S33314612	0
GC_00000005	S749695	0
GC_00000005	SFerroplasmacircular	1
GC_00000005	SMAG00006	1
GC_00000006	S12936484	0
GC_00000006	S259100318	1
GC_00000006	S259100328	1
GC_00000006	S259100333	1
GC_00000006	S259100335	1
GC_00000006	S259100337	1
GC_00000006	S259100341	1
GC_00000006	S25910037	0
GC_00000006	S25910039	0
GC_00000006	S33314612	0
GC_00000006	S749695	0
GC_00000006	SFerroplasmacircular	0
GC_00000006	SMAG00006	0
GC_00000007	S12936484	1
GC_00000007	S259100318	0
GC_00000007	S259100328	1
GC_00000007	S259100333	1
GC_00000007	S259100335	1
GC_00000007	S259100337	1
GC_00000007	S259100341	1
GC_00000007	S25910037	1
GC_00000007	S25910039	1
GC_00000007	S33314612	1
GC_00000007	S749695	1
GC_00000007	SFerroplasmacircular	1
GC_00000007	SMAG00006	1
GC_00000008	S12936484	1
GC_00000008	S259100318	1
GC_00000008	S259100328	1
GC_00000008	S259100333	1
GC_00000008	S259100335	0
GC_00000008	S259100337	1
GC_00000008	S259100341	1
GC_00000008	S25910037	1
GC_00000008	S25910039	0
GC_00000008	S33314612	1
GC_00000008	S749695	1
GC_00000008	SFerroplasmacircular	0
GC_00000008	SMAG00006	1
GC_00000009	S12936484	1
GC_00000009	S259100318	0
GC_00000009	S259100328	1
GC_00000009	S259100333	1
GC_00000009	S259100335	1
GC_00000009	S259100337	0
GC_00000009	S259100341	1
GC_00000009	S25910037	1
GC_00000009	S25910039	1
GC_00000009	S33314612	1
GC_00000009	S749695	1
GC_00000009	SFerroplasmacircular	0
GC_00000009	SMAG00006	1
GC_00000010	S12936484	0
GC_00000010	S259100318	1
GC_00000010	S259100328	1
GC_00000010	S259100333	0
GC_00000010	S259100335	0
GC_00000010	S259100337	0
GC_00000010	S259100341	1
GC_00000010	S25910037	0
GC_00000010	S25910039	1
GC_00000010	S33314612	0
GC_00000010	S749695	0
GC_00000010	SFerroplasmacircular	1
GC_00000010	SMAG00006	0
GC_00000011	S12936484	1
GC_00000011	S259100318	1
GC_00000011	S259100328	1
GC_00000011	S259100333	1
GC_00000011	S259100335	1
GC_00000011	S259100337	1
GC_00000011	S259100341	1
GC_00000011	S25910037	1
GC_00000011	S25910039	0
GC_00000011	S33314612	1
GC_00000011	S749695	1
GC_00000011	SFerroplasmacircular	1
GC_00000011	SMAG00006	1
GC_00000012	S12936484	1
GC_00000012	S259100318	1
GC_00000012	S259100328	1
GC_00000012	S259100333	1
GC_00000012	S259100335	1
GC_00000012	S259100337	1
GC_00000012	S259100341	1
GC_00000012	S25910037	1
GC_00000012	S25910039	1
GC_00000012	S33314612	1
GC_00000012	S749695	1
GC_00000012	SFerroplasmacircular	1
GC_00000012	SMAG00006	1
GC_00000013	S12936484	0
GC_00000013	S259100318	0
GC_00000013	S259100328	0
GC_00000013	S259100333	0
GC_00000013	S259100335	0
GC_00000013	S259100337	0
GC_00000013	S259100341	0
GC_00000013	S25910037	0
GC_00000013	S25910039	0
GC_00000013	S33314612	0
GC_00000013	S749695	0
GC_00000013	SFerroplasmacircular	1
GC_00000013	SMAG00006	0
GC_00000014	S12936484	1
GC_00000014	S259100318	1
GC_00000014	S259100328	1
GC_00000014	S259100333	1
GC_00000014	S259100335	1
GC_00000014	S259100337	1
GC_00000014	S259100341	1
GC_00000014	S25910037	1
GC_00000014	S25910039	1
GC_00000014	S33314612	1
GC_00000014	S749695	1
GC_00000014	SFerroplasmacircular	1
GC_00000014	SMAG00006	1
GC_00000015	S12936484	1
GC_00000015	S259100318	1
GC_00000015	S259100328	1
GC_00000015	S259100333	1
GC_00000015	S259100335	1
GC_00000015	S259100337	1
GC_00000015	S259100341	1
GC_00000015	S25910037	1
GC_00000015	S25910039	1
GC_00000015	S33314612	1
GC_00000015	S749695	1
GC_00000015	SFerroplasmacircular	1
GC_00000015	SMAG00006	1
GC_00000016	S12936484	1
GC_00000016	S259100318	1
GC_00000016	S259100328	1
GC_00000016	S259100333	1
GC_00000016	S259100335	1
GC_00000016	S259100337	1
GC_00000016	S259100341	1
GC_00000016	S25910037	1
GC_00000016	S25910039	1
GC_00000016	S33314612	1
GC_00000016	S749695	1
GC_00000016	SFerroplasmacircular	1
GC_00000016	SMAG00006	1
GC_00000017	S12936484	0
GC_00000017	S259100318	1
GC_00000017	S259100328	0
GC_00000017	S259100333	0
GC_00000017	S259100335	0
GC_00000017	S259100337	0
GC_00000017	S259100341	0
GC_00000017	S25910037	1
GC_00000017	S25910039	1
GC_00000017	S33314612	1
GC_00000017	S749695	1
GC_00000017	SFerroplasmacircular	1
GC_00000017	SMAG00006	1
GC_00000018	S12936484	1
GC_00000018	S259100318	1
GC_00000018	S259100328	1
GC_00000018	S259100333	1
GC_00000018	S259100335	1
GC_00000018	S259100337	1
GC_00000018	S259100341	1
