sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_pAgo_1	pAgo	pAgo	c_000000304922_10	c_000000304922_10	c_000000304922_10	1	pAgo__pAgo_LongA
UserReplicon_pAgo_2	pAgo	pAgo	c_000000079873_21	c_000000079873_21	c_000000079873_21	1	pAgo__COG1431_pAgo
UserReplicon_RM_Type_I_1	RM	RM_Type_I	c_000000088125_8	c_000000088125_10	c_000000088125_8,c_000000088125_9,c_000000088125_10	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
UserReplicon_CAS_Class1-Subtype-I-G_3	Cas	CAS_Class1-Subtype-I-G	c_000000170665_1	c_000000170665_4	c_000000170665_1,c_000000170665_2,c_000000170665_3,c_000000170665_4	4	Cas__csb2gr5_I-G_1,Cas__csb1gr7_I-G_1,Cas__cas8u1_I-G_1,Cas__cas3_I_5
UserReplicon_CAS_Class1-Subtype-I-B_1	Cas	CAS_Class1-Subtype-I-B	c_000000049168_1	c_000000049168_8	c_000000049168_1,c_000000049168_2,c_000000049168_3,c_000000049168_4,c_000000049168_5,c_000000049168_6,c_000000049168_7,c_000000049168_8	8	Cas__cas2_I_II_III_IV_V_VI_3,Cas__cas1_I_II_III_IV_V_VI_7,Cas__cas4_I_II_III_IV_V_VI_6,Cas__cas3_I_5,Cas__cas5_I-B_8,Cas__cas7b_I-B_I-C_2,Cas__cas8b1_I-B_14,Cas__cas6_I_II_III_IV_V_VI_20
UserReplicon_CAS_Class1-Subtype-I-D_2	Cas	CAS_Class1-Subtype-I-D	c_000000101225_2	c_000000101225_7	c_000000101225_2,c_000000101225_3,c_000000101225_4,c_000000101225_5,c_000000101225_6,c_000000101225_7	6	Cas__csc2gr7_I-D_1,Cas__csc1gr5_I-D_2,Cas__cas3_I-D_4,Cas__cas4_I_II_III_IV_V_VI_6,Cas__cas1_I_II_III_IV_V_VI_7,Cas__cas2_I_II_III_IV_V_VI_5
UserReplicon_CAS_Cluster_12	Cas	CAS_Cluster	c_000000015663_2	c_000000015663_3	c_000000015663_2,c_000000015663_3	2	Cas__cas2_I_II_III_IV_V_VI_3,Cas__cas1_I_II_III_IV_V_VI_1
UserReplicon_CAS_Class1-Subtype-III-A_4	Cas	CAS_Class1-Subtype-III-A	c_000000273288_1	c_000000273288_9	c_000000273288_1,c_000000273288_2,c_000000273288_3,c_000000273288_4,c_000000273288_5,c_000000273288_6,c_000000273288_7,c_000000273288_8,c_000000273288_9	9	Cas__cas2_I_II_III_IV_V_VI_5,Cas__cas1_I_II_III_IV_V_VI_7,Cas__csx1_III_7,Cas__csm5gr7_III-A_3,Cas__csm4gr5_III-A_1,Cas__csm3gr7_III-A_1,Cas__csm2gr11_III-A_1,Cas__cas10_III-A_1,Cas__cas6_I_II_III_IV_V_VI_14
