replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
UserReplicon	KNPMNEEE_00954	RM_Type_III__Type_III_MTases	932	defense-finder-models/RM/RM/RM_Type_III	UserReplicon_RM_Type_III_1	1	1	1.000	2.000	1	RM_Type_III__Type_III_MTases	mandatory	616	1.1e-58	196.700	0.608	0.563	6	352		
UserReplicon	KNPMNEEE_00955	RM_Type_III__Type_III_REases	933	defense-finder-models/RM/RM/RM_Type_III	UserReplicon_RM_Type_III_1	1	1	1.000	2.000	1	RM_Type_III__Type_III_REases	mandatory	845	1e-27	93.600	0.521	0.589	99	596		
UserReplicon	KNPMNEEE_00012	Cas__cas6_I_II_III_IV_V_VI_10	12	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas6_I-A_III-D_3	accessory	239	1.9e-24	83.900	0.988	0.975	4	236		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00013	Cas__cas10d_I-D_5	13	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas10d_I-D_3	mandatory	900	3.8e-73	243.800	0.981	0.974	19	895		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00014	Cas__csc2gr7_I-D_1	14	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__csc2gr7_I-D_1	mandatory	315	1.8e-19	67.200	0.734	0.641	42	243		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00015	Cas__csc1gr5_I-D_2	15	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__csc1gr5_I-D_2	mandatory	219	6.6e-21	71.800	0.776	0.813	8	185		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00016	Cas__cas3_I_2	16	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas3_I_2	accessory	607	9.1e-22	74.500	0.938	0.547	40	371		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00017	Cas__cas4_I_II_III_IV_V_VI_6	17	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas4_I_II_III_IV_V_VI_1	accessory	146	7.9e-23	78.300	0.845	0.938	9	145		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00018	Cas__cas1_I_II_III_IV_V_VI_7	18	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas1_I_II_III_IV_V_VI_1	accessory	322	1.3e-106	353.400	0.994	0.966	8	318		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
UserReplicon	KNPMNEEE_00019	Cas__cas2_I_II_III_IV_V_VI_3	19	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_1	1	1	1.000	8.000	1	Cas__cas2_I_II_III_IV_V_VI_3	accessory	86	7.3e-21	71.200	0.962	0.872	3	77		UserReplicon_CAS_Class1-Type-I_2,UserReplicon_CAS_Cluster_3
